qid,p31,has_kkwiki,relation_group,coverage_status
Q748155,Q23691,1,P17_only,covered
Q748155,Q105543609,1,P17_only,covered
Q956911,Q515,1,P17+P131,covered
Q956911,Q109607,1,P17+P131,covered
Q956911,Q839954,1,P17+P131,covered
Q956911,Q15661340,1,P17+P131,covered
Q1800196,Q46865913,1,P17_only,covered
Q2324596,Q33506,1,P17+P131,covered
Q2381773,Q1762059,1,P17_only,covered
Q2583784,Q223393,1,P17_only,covered
Q2736647,Q2643128,1,P17+P131,covered
Q3312321,Q130212458,1,P17+P131,covered
Q4146748,Q24354,1,P17+P131,covered
Q4146748,Q11812394,1,P17+P131,covered
Q4146879,Q33506,1,P17_only,covered
Q4146927,Q24354,1,P17+P131,covered
Q4208087,Q24354,1,P17+P131,covered
Q4208087,Q2416110,1,P17+P131,covered
Q4208087,Q2416217,1,P17+P131,covered
Q4208363,Q192283,1,P17_only,covered
Q4283953,Q701632,1,P17_only,covered
Q4314789,Q7075,1,P17+P131,covered
Q4314789,Q22806,1,P17+P131,covered
Q4376344,Q74817647,1,P17_only,covered
Q4393637,Q24354,1,P17+P131,covered
Q4531918,Q2151621,1,P17_only,covered
Q4531918,Q74817647,1,P17_only,covered
Q12530667,Q11032,1,P17_only,covered
Q16431478,Q4421,1,P17_only,covered
Q16433250,Q179049,1,P17_only,covered
Q1520,Q1549591,1,P17+P131,covered
Q1520,Q7930989,1,P17+P131,covered
Q1520,Q12266391,1,P17+P131,covered
Q1520,Q15840617,1,P17+P131,covered
Q1520,Q108178728,1,P17+P131,covered
Q127745,Q3918,1,P17+P131,covered
Q127745,Q45400320,1,P17+P131,covered
Q182404,Q645466,1,P17_only,covered
Q406828,Q46970,1,P17_only,covered
Q486316,Q41710,1,P17_only,covered
Q486316,Q83328,1,P17_only,covered
Q544079,Q135728374,1,P17_only,covered
Q767661,Q46169,1,P17+P131,covered
Q767661,Q112128334,1,P17+P131,covered
Q1025808,Q130108094,1,P17+P131,covered
Q1045983,Q4830453,1,P17_only,covered
Q1045983,Q6881511,1,P17_only,covered
Q1356864,Q135409346,1,P17_only,covered
Q1417227,Q891723,1,P17+P131,covered
Q1417227,Q4830453,1,P17+P131,covered
Q1417227,Q6881511,1,P17+P131,covered
Q1590386,Q4830453,1,P17+P131,covered
Q1590386,Q6881511,1,P17+P131,covered
Q1734853,Q211748,1,P17+P131,covered
Q1734853,Q5558483,1,P17+P131,covered
Q1930015,Q7278,1,P17_only,covered
Q2605056,Q5737,1,P17+P131,covered
Q3826507,Q839954,1,P17+P131,covered
Q3826507,Q2974842,1,P17+P131,covered
Q4059265,Q3918,1,P17_only,covered
Q4246014,Q130212458,1,P17+P131,covered
Q4409147,Q486972,1,P17_only,covered
Q4409147,Q839954,1,P17_only,covered
Q4449170,Q486972,1,P17+P131,covered
Q4449170,Q130212458,1,P17+P131,covered
Q12573531,Q74817647,1,P17_only,covered
Q5484,Q165,1,P17_only,covered
Q5484,Q23397,1,P17_only,covered
Q5484,Q188025,1,P17_only,covered
Q5484,Q9019918,1,P17_only,covered
Q5955,Q47041,1,P17+P131,covered
Q5955,Q1437459,1,P17+P131,covered
Q5955,Q4351849,1,P17+P131,covered
Q27275,Q82794,1,P17_only,covered
Q27275,Q3502482,1,P17_only,covered
Q33541,Q34770,1,P17_only,covered
Q33541,Q1288568,1,P17_only,covered
Q35883,Q47486890,1,P17+P131,covered
Q192567,Q4022,1,P17+P131,covered
Q192604,Q41710,1,P17_only,covered
Q192616,Q41710,1,P17_only,covered
Q270706,Q1197685,1,P17_only,covered
Q483159,Q4022,1,P17+P131,covered
Q485348,Q41710,1,P17_only,covered
Q485348,Q2472587,1,P17_only,covered
Q1046034,Q43501,1,P17+P131,covered
Q2472280,Q66344,1,P17_only,covered
Q4062771,Q43501,1,P17+P131,covered
Q4085606,Q130212458,1,P17+P131,covered
Q4158220,Q1197685,1,P17_only,covered
Q4506751,Q130212458,1,P17+P131,covered
Q4507469,Q130108094,1,P17+P131,covered
Q12555954,Q746549,1,P17_only,covered
Q12572479,Q15622363,1,P17_only,covered
Q12573357,Q1968122,1,P17_only,covered
Q134485,Q23397,1,P17_only,covered
Q134485,Q9019918,1,P17_only,covered
Q140137,Q26213387,1,P17_only,covered
Q165450,Q515,1,P17+P131,covered
Q165450,Q130108094,1,P17+P131,covered
Q484433,Q5503,1,P17+P131,covered
Q490643,Q515,1,P17+P131,covered
Q490643,Q1549591,1,P17+P131,covered
Q490643,Q7930989,1,P17+P131,covered
Q490643,Q129725870,1,P17+P131,covered
Q723483,Q476028,1,P17_only,covered
Q805515,Q515,1,P17+P131,covered
Q805515,Q129725870,1,P17+P131,covered
Q809683,Q4498974,1,P17_only,covered
Q1001104,Q691960,1,P17+P131,covered
Q1001104,Q1549591,1,P17+P131,covered
Q1001104,Q1662118,1,P17+P131,covered
Q1001104,Q129725870,1,P17+P131,covered
Q1046027,Q162875,1,P17+P131,covered
Q1046027,Q15135589,1,P17+P131,covered
Q1129461,Q17544377,1,P17_only,covered
Q1192000,Q5558483,1,P17+P131,covered
Q1192000,Q12132769,1,P17+P131,covered
Q2550214,Q2643128,1,P17+P131,covered
Q2556162,Q2643128,1,P17+P131,covered
Q2726410,Q2643128,1,P17+P131,covered
Q2726443,Q2643128,1,P17+P131,covered
Q2726493,Q2643128,1,P17+P131,covered
Q4059689,Q2403977,1,P17_only,covered
Q4059689,Q56507866,1,P17_only,covered
Q4208439,Q74817647,1,P17_only,covered
Q4273752,Q162875,1,P17+P131,covered
Q4273752,Q15135589,1,P17+P131,covered
Q11284460,Q15221623,1,P17_only,covered
Q12560060,Q1197685,1,P17_only,covered
Q12981954,Q74817647,1,P17_only,covered
Q13664196,Q130212458,1,P17+P131,covered
Q16433244,Q15104915,1,P17_only,covered
Q55658085,Q15221623,1,P17_only,covered
Q488578,Q177414,1,P17_only,covered
Q488578,Q422710,1,P17_only,covered
Q698941,Q515,1,P17+P131,covered
Q698941,Q129725870,1,P17+P131,covered
Q1135501,Q13406463,1,P17_only,covered
Q1538192,Q13406463,1,P17_only,covered
Q4099294,Q46169,1,P17+P131,covered
Q4099294,Q473972,1,P17+P131,covered
Q4099294,Q112128334,1,P17+P131,covered
Q6635482,Q13406463,1,P17_only,covered
Q12556928,Q39816,1,P17_only,covered
Q8798,Q33742,1,P17_only,covered
Q8798,Q1288568,1,P17_only,covered
Q9129,Q25295,1,P17_only,covered
Q9129,Q33742,1,P17_only,covered
Q9129,Q1288568,1,P17_only,covered
Q9292,Q33742,1,P17_only,covered
Q9292,Q152559,1,P17_only,covered
Q9292,Q1288568,1,P17_only,covered
Q46118,Q41710,1,P17_only,covered
Q420603,Q928830,1,P17+P131,covered
Q420603,Q22808403,1,P17+P131,covered
Q447047,Q46169,1,P17+P131,covered
Q447047,Q112128334,1,P17+P131,covered
Q638963,Q928830,1,P17+P131,covered
Q638963,Q22808403,1,P17+P131,covered
Q647720,Q473972,1,P17+P131,covered
Q647720,Q112128334,1,P17+P131,covered
Q649007,Q473972,1,P17+P131,covered
Q649007,Q112128334,1,P17+P131,covered
Q707379,Q11303,1,P17+P131,covered
Q707379,Q27686,1,P17+P131,covered
Q746678,Q928830,1,P17+P131,covered
Q746678,Q22808403,1,P17+P131,covered
Q1046294,Q473972,1,P17_only,covered
Q1046294,Q112128334,1,P17_only,covered
Q1046335,Q179049,1,P17+P131,covered
Q1046335,Q473972,1,P17+P131,covered
Q1046335,Q112128334,1,P17+P131,covered
Q1268090,Q58840819,1,P17_only,covered
Q1454511,Q756102,1,P17+P131,covered
Q1454511,Q974968,1,P17+P131,covered
Q1571825,Q473972,1,P17+P131,covered
Q1571825,Q112128334,1,P17+P131,covered
Q1765261,Q158454,1,P17+P131,covered
Q1765261,Q179049,1,P17+P131,covered
Q1765261,Q473972,1,P17+P131,covered
Q1765261,Q112128334,1,P17+P131,covered
Q1817735,Q46169,1,P17+P131,covered
Q1817735,Q839954,1,P17+P131,covered
Q1817735,Q112128334,1,P17+P131,covered
Q2002989,Q928830,1,P17+P131,covered
Q2002989,Q20202072,1,P17+P131,covered
Q2002989,Q22808403,1,P17+P131,covered
Q2072127,Q928830,1,P17+P131,covered
Q2072127,Q22808403,1,P17+P131,covered
Q2072183,Q928830,1,P17+P131,covered
Q2072183,Q22808403,1,P17+P131,covered
Q2072205,Q928830,1,P17+P131,covered
Q2072205,Q22808403,1,P17+P131,covered
Q4059467,Q473972,1,P17+P131,covered
Q4059467,Q112128334,1,P17+P131,covered
Q4060347,Q839954,1,P17+P131,covered
Q4060457,Q473972,1,P17_only,covered
Q4060457,Q112128334,1,P17_only,covered
Q4186442,Q473972,1,P17+P131,covered
Q4186442,Q112128334,1,P17+P131,covered
Q4199195,Q46169,1,P17+P131,covered
Q4199195,Q112128334,1,P17+P131,covered
Q4203111,Q473972,1,P17+P131,covered
Q4203111,Q112128334,1,P17+P131,covered
Q4207613,Q31629,1,P17_only,covered
Q4207613,Q74817647,1,P17_only,covered
Q4214337,Q473972,1,P17+P131,covered
Q4214337,Q112128334,1,P17+P131,covered
Q4217451,Q46169,1,P17+P131,covered
Q4217451,Q473972,1,P17+P131,covered
Q4217451,Q112128334,1,P17+P131,covered
Q4227524,Q46169,1,P17_only,covered
Q4227524,Q112128334,1,P17_only,covered
Q4228940,Q46169,1,P17+P131,covered
Q4228940,Q112128334,1,P17+P131,covered
Q4281845,Q473972,1,P17+P131,covered
Q4281845,Q112128334,1,P17+P131,covered
Q4405258,Q46169,1,P17+P131,covered
Q4405258,Q473972,1,P17+P131,covered
Q4405258,Q112128334,1,P17+P131,covered
Q4415112,Q473972,1,P17+P131,covered
Q4415112,Q112128334,1,P17+P131,covered
Q4507523,Q46169,1,P17+P131,covered
Q4507523,Q473972,1,P17+P131,covered
Q4507523,Q112128334,1,P17+P131,covered
Q6680093,Q473972,1,P17+P131,covered
Q6680093,Q112128334,1,P17+P131,covered
Q12565521,Q23397,1,P17_only,covered
Q12569977,Q4022,1,P17_only,covered
Q12572863,Q4989906,1,P17+P131,covered
Q12575340,Q82821,1,P17_only,covered
Q45708,Q2643128,1,P17+P131,covered
Q45716,Q130212458,1,P17+P131,covered
Q49542,Q41710,1,P17_only,covered
Q49542,Q2472587,1,P17_only,covered
Q84072,Q6266,1,P17_only,covered
Q84072,Q33829,1,P17_only,covered
Q84072,Q41710,1,P17_only,covered
Q84072,Q231002,1,P17_only,covered
Q84072,Q2472587,1,P17_only,covered
Q128102,Q4022,1,P17_only,covered
Q174233,Q644371,1,P17+P131,covered
Q174233,Q94993988,1,P17+P131,covered
Q483047,Q41710,1,P17_only,covered
Q484479,Q41710,1,P17_only,covered
Q484479,Q4533081,1,P17_only,covered
Q612211,Q2643128,1,P17+P131,covered
Q706980,Q4022,1,P17+P131,covered
Q737748,Q2643128,1,P17+P131,covered
Q740832,Q515,1,P17+P131,covered
Q740832,Q129725870,1,P17+P131,covered
Q767177,Q129725870,1,P17+P131,covered
Q858844,Q644371,1,P17+P131,covered
Q858844,Q1248784,1,P17+P131,covered
Q858844,Q94993988,1,P17+P131,covered
Q920456,Q3918,1,P17+P131,covered
Q1000852,Q129725870,1,P17+P131,covered
Q1010149,Q129725870,1,P17+P131,covered
Q1019377,Q515,1,P17+P131,covered
Q1019377,Q129725870,1,P17+P131,covered
Q1019405,Q515,1,P17+P131,covered
Q1019405,Q129725870,1,P17+P131,covered
Q1020484,Q515,1,P17+P131,covered
Q1020484,Q129725870,1,P17+P131,covered
Q1069105,Q249556,1,P17+P131,covered
Q1087785,Q130108094,1,P17+P131,covered
Q1359850,Q8514,1,P17+P131,covered
Q1359850,Q160091,1,P17+P131,covered
Q1473986,Q15079663,1,P17+P131,covered
Q1703483,Q515,1,P17+P131,covered
Q1703483,Q129725870,1,P17+P131,covered
Q2231416,Q515,1,P17+P131,covered
Q2231416,Q130108094,1,P17+P131,covered
Q2283566,Q2643128,1,P17+P131,covered
Q2550369,Q2643128,1,P17+P131,covered
Q2550426,Q2643128,1,P17+P131,covered
Q2668108,Q2643128,1,P17+P131,covered
Q2726421,Q2643128,1,P17+P131,covered
Q2726463,Q2643128,1,P17+P131,covered
Q2726480,Q2643128,1,P17+P131,covered
Q4056543,Q130212458,1,P17+P131,covered
Q4059953,Q130212458,1,P17+P131,covered
Q4069428,Q55488,1,P17_only,covered
Q4177934,Q130212458,1,P17+P131,covered
Q4309401,Q130212458,1,P17+P131,covered
Q4328046,Q486972,1,P17+P131,covered
Q4328046,Q130212458,1,P17+P131,covered
Q4450399,Q130212458,1,P17+P131,covered
Q7082688,Q130212458,1,P17+P131,covered
Q12531317,Q8502,1,P17_only,covered
Q12549279,Q130212458,1,P17+P131,covered
Q16433417,Q8502,1,P17_only,covered
Q111077075,Q7278,1,P17_only,covered
Q30520,Q515,1,P17+P131,covered
Q30520,Q130108094,1,P17+P131,covered
Q30534,Q3957,1,P17+P131,covered
Q30534,Q130108094,1,P17+P131,covered
Q32380,Q7930989,1,P17+P131,covered
Q32380,Q130108094,1,P17+P131,covered
Q35362,Q515,1,P17+P131,covered
Q35362,Q130108094,1,P17+P131,covered
Q75318,Q2643128,1,P17+P131,covered
Q80438,Q22687,1,P17_only,covered
Q80438,Q4830453,1,P17_only,covered
Q80438,Q6881511,1,P17_only,covered
Q145802,Q130108094,1,P17+P131,covered
Q194170,Q476028,1,P17_only,covered
Q216621,Q23397,1,P17+P131,covered
Q285377,Q130212458,1,P17+P131,covered
Q304827,Q7930989,1,P17+P131,covered
Q304827,Q130108094,1,P17+P131,covered
Q477814,Q476028,1,P17_only,covered
Q496442,Q515,1,P17+P131,covered
Q496442,Q1549591,1,P17+P131,covered
Q496442,Q129725870,1,P17+P131,covered
Q522660,Q2643128,1,P17+P131,covered
Q574486,Q2643128,1,P17+P131,covered
Q612144,Q130108094,1,P17+P131,covered
Q657052,Q129725870,1,P17+P131,covered
Q718108,Q515,1,P17+P131,covered
Q718108,Q129725870,1,P17+P131,covered
Q757666,Q82794,1,P17+P131,covered
Q757666,Q53732481,1,P17+P131,covered
Q943327,Q839954,1,P17+P131,covered
Q1008853,Q515,1,P17+P131,covered
Q1008853,Q129725870,1,P17+P131,covered
Q1019392,Q130108094,1,P17+P131,covered
Q1019810,Q130108094,1,P17+P131,covered
Q1046127,Q184644,1,P17+P131,covered
Q1046224,Q3918,1,P17+P131,covered
Q1046268,Q130108094,1,P17+P131,covered
Q1047824,Q3957,1,P17+P131,covered
Q1047824,Q130108094,1,P17+P131,covered
Q1192007,Q130108094,1,P17+P131,covered
Q1315249,Q515,1,P17+P131,covered
Q1315249,Q129725870,1,P17+P131,covered
Q1340535,Q486972,1,P17+P131,covered
Q1340535,Q130108094,1,P17+P131,covered
Q1370228,Q2643128,1,P17+P131,covered
Q1421980,Q728937,1,P17_only,covered
Q1557559,Q130108094,1,P17+P131,covered
Q1563937,Q4498974,1,P17_only,covered
Q1688290,Q130108094,1,P17+P131,covered
Q1881641,Q130108094,1,P17+P131,covered
Q1943146,Q130212458,1,P17+P131,covered
Q2030552,Q130108094,1,P17+P131,covered
Q2030615,Q129725870,1,P17+P131,covered
Q2121478,Q515,1,P17+P131,covered
Q2121478,Q130108094,1,P17+P131,covered
Q2129065,Q134161,1,P17_only,covered
Q2129065,Q891723,1,P17_only,covered
Q2129065,Q47505416,1,P17_only,covered
Q2139924,Q515,1,P17+P131,covered
Q2139924,Q130108094,1,P17+P131,covered
Q2231343,Q32815,1,P17+P131,covered
Q2302162,Q515,1,P17+P131,covered
Q2302162,Q130108094,1,P17+P131,covered
Q2354571,Q6456916,1,P17_only,covered
Q2374413,Q130108094,1,P17+P131,covered
Q2378028,Q486972,1,P17+P131,covered
Q2378028,Q130108094,1,P17+P131,covered
Q2378055,Q515,1,P17+P131,covered
Q2378055,Q130108094,1,P17+P131,covered
Q2435663,Q130108094,1,P17+P131,covered
Q2549670,Q2643128,1,P17+P131,covered
Q2554428,Q2643128,1,P17+P131,covered
Q2554452,Q2643128,1,P17+P131,covered
Q2554487,Q2643128,1,P17+P131,covered
Q2554511,Q2643128,1,P17+P131,covered
Q2554556,Q2643128,1,P17+P131,covered
Q2554567,Q2643128,1,P17+P131,covered
Q2963663,Q130003,1,P17+P131,covered
Q4107913,Q41176,1,P17+P131,covered
Q4146753,Q42998,1,P17_only,covered
Q4155073,Q130212458,1,P17+P131,covered
Q4407014,Q1061648,1,P17_only,covered
Q4407014,Q4830453,1,P17_only,covered
Q4407014,Q6881511,1,P17_only,covered
Q4417399,Q515,1,P17+P131,covered
Q4417399,Q130108094,1,P17+P131,covered
Q12532110,Q130212458,1,P17+P131,covered
Q12565922,Q4022,1,P17_only,covered
Q21072,Q15087423,1,P17_only,covered
Q21072,Q17305522,1,P17_only,covered
Q24360,Q476028,1,P17_only,covered
Q25563,Q2643128,1,P17+P131,covered
Q25577,Q2643128,1,P17+P131,covered
Q30513,Q2643128,1,P17+P131,covered
Q30516,Q2643128,1,P17+P131,covered
Q32417,Q2643128,1,P17+P131,covered
Q32419,Q2643128,1,P17+P131,covered
Q32421,Q2643128,1,P17+P131,covered
Q35899,Q2643128,1,P17+P131,covered
Q35902,Q2643128,1,P17+P131,covered
Q41229,Q2643128,1,P17+P131,covered
Q44486,Q2643128,1,P17+P131,covered
Q45705,Q2643128,1,P17+P131,covered
Q46069,Q162875,1,P17+P131,covered
Q47982,Q2643128,1,P17+P131,covered
Q58179,Q2643128,1,P17+P131,covered
Q75251,Q2643128,1,P17+P131,covered
Q80240,Q4022,1,P17+P131,covered
Q191524,Q4022,1,P17+P131,covered
Q191524,Q4366834,1,P17+P131,covered
Q220880,Q27020041,1,P17_only,covered
Q326422,Q15991303,1,P17_only,covered
Q387436,Q2643128,1,P17+P131,covered
Q420585,Q476028,1,P17_only,covered
Q420594,Q476028,1,P17_only,covered
Q420605,Q476028,1,P17_only,covered
Q420609,Q476028,1,P17_only,covered
Q420613,Q476028,1,P17_only,covered
Q509303,Q2643128,1,P17+P131,covered
Q546557,Q476028,1,P17_only,covered
Q557612,Q476028,1,P17_only,covered
Q595124,Q2643128,1,P17+P131,covered
Q613774,Q2643128,1,P17+P131,covered
Q619361,Q2643128,1,P17+P131,covered
Q630939,Q476028,1,P17_only,covered
Q650725,Q2643128,1,P17+P131,covered
Q671139,Q27020041,1,P17_only,covered
Q720411,Q2643128,1,P17+P131,covered
Q720422,Q2643128,1,P17+P131,covered
Q736986,Q476028,1,P17_only,covered
Q740568,Q476028,1,P17_only,covered
Q740666,Q476028,1,P17_only,covered
Q750533,Q476028,1,P17_only,covered
Q779698,Q476028,1,P17_only,covered
Q798143,Q476028,1,P17_only,covered
Q804210,Q1440300,1,P17+P131,covered
Q804210,Q4989906,1,P17+P131,covered
Q849889,Q476028,1,P17_only,covered
Q891262,Q476028,1,P17+P131,covered
Q893317,Q2643128,1,P17+P131,covered
Q931708,Q23397,1,P17+P131,covered
Q931971,Q476028,1,P17_only,covered
Q933068,Q476028,1,P17_only,covered
Q952951,Q2643128,1,P17+P131,covered
Q986100,Q515,1,P17+P131,covered
Q986100,Q129725870,1,P17+P131,covered
Q986554,Q4830453,1,P17_only,covered
Q1010136,Q2643128,1,P17+P131,covered
Q1042829,Q476028,1,P17_only,covered
Q1045872,Q167170,1,P17_only,covered
Q1045872,Q114609228,1,P17_only,covered
Q1046132,Q476028,1,P17_only,covered
Q1046321,Q476028,1,P17_only,covered
Q1046326,Q476028,1,P17_only,covered
Q1046342,Q476028,1,P17_only,covered
Q1046348,Q476028,1,P17_only,covered
Q1093688,Q476028,1,P17_only,covered
Q1099244,Q2643128,1,P17+P131,covered
Q1105789,Q476028,1,P17_only,covered
Q1238323,Q515,1,P17+P131,covered
Q1238323,Q130108094,1,P17+P131,covered
Q1249595,Q2643128,1,P17+P131,covered
Q1299866,Q4493701,1,P17_only,covered
Q1361963,Q15991303,1,P17_only,covered
Q1418264,Q8463186,1,P17_only,covered
Q1563804,Q4498974,1,P17_only,covered
Q1571840,Q8068,1,P17_only,covered
Q1650873,Q2643128,1,P17+P131,covered
Q1735177,Q476028,1,P17_only,covered
Q2029854,Q2643128,1,P17+P131,covered
Q2166484,Q233591,1,P17_only,covered
Q2321974,Q2643128,1,P17+P131,covered
Q2360606,Q2643128,1,P17+P131,covered
Q2374438,Q486972,1,P17+P131,covered
Q2374438,Q130108094,1,P17+P131,covered
Q2378015,Q130108094,1,P17+P131,covered
Q2391391,Q515,1,P17+P131,covered
Q2391391,Q130108094,1,P17+P131,covered
Q2422652,Q2643128,1,P17+P131,covered
Q2448467,Q2643128,1,P17+P131,covered
Q2466416,Q2643128,1,P17+P131,covered
Q2466428,Q2643128,1,P17+P131,covered
Q2476548,Q2643128,1,P17+P131,covered
Q2476575,Q2643128,1,P17+P131,covered
Q2518594,Q1788820,1,P17_only,covered
Q2518594,Q137794598,1,P17_only,covered
Q2549644,Q2643128,1,P17+P131,covered
Q2549654,Q2643128,1,P17+P131,covered
Q2549660,Q2643128,1,P17+P131,covered
Q2550287,Q2643128,1,P17+P131,covered
Q2550349,Q2643128,1,P17+P131,covered
Q2550363,Q2643128,1,P17+P131,covered
Q2550418,Q2643128,1,P17+P131,covered
Q2550746,Q2643128,1,P17+P131,covered
Q2550754,Q2643128,1,P17+P131,covered
