model,base_pairs,pair_property_tests,difference,ci_low,ci_high,cluster_permutation_p
gemini-3.6-flash,99,143,0.0,-0.04255319148936171,0.044444444444444446,1.0
gpt-5.6-terra,99,143,-0.08391608391608393,-0.16417910447761191,-0.006993006993006978,0.050279748601256995
