model,base_pairs,pair_property_tests,difference,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,cluster_permutation_p
gemini-3.6-flash,99,143,0.013986013986013957,-0.05633802816901401,0.08391608391608396,0.8445507772461137
gpt-5.6-terra,99,143,-0.006993006993006978,-0.08510638297872336,0.07746478873239432,1.0
