gender,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,median_categories,mean_categories,no_references,no_images,under_250_words,thin_articles,substantial_articles,no_references_pct,no_images_pct,under_250_words_pct,thin_articles_pct,substantial_articles_pct
Female,220,293.0,415.53,1.0,2.6,0.0,0.19,14.0,19.39,4.0,4.55,27,185,91,9,17,12.27,84.09,41.36,4.09,7.73
Male,962,285.5,444.77,1.0,2.9,0.0,0.25,16.0,23.06,5.0,6.05,125,821,428,50,106,12.99,85.34,44.49,5.2,11.02
