qid,in_p17,in_p131,relation_group,has_kkwiki
Q27357584,1,1,P17+P131,0
Q20098113,1,1,P17+P131,1
Q32192222,1,1,P17+P131,0
Q12555384,1,0,P17_only,1
Q139694496,1,0,P17_only,1
Q16690898,1,1,P17+P131,1
Q20098972,1,1,P17+P131,1
Q96376187,1,0,P17_only,0
Q32211838,1,0,P17_only,0
Q32200412,1,0,P17_only,0
Q12558904,1,0,P17_only,1
Q21659751,1,0,P17_only,0
Q12577960,1,0,P17_only,1
Q135829620,1,0,P17_only,0
Q74850650,1,0,P17_only,0
Q12560463,1,0,P17_only,1
Q32188251,1,0,P17_only,0
Q18399920,1,1,P17+P131,1
Q2035898,1,0,P17_only,1
Q129880748,1,0,P17_only,1
Q12553392,1,0,P17_only,1
Q16431422,1,0,P17_only,1
Q16273024,1,1,P17+P131,1
Q32171329,1,0,P17_only,0
Q135829493,1,0,P17_only,0
Q15918891,1,1,P17+P131,1
Q12698595,1,0,P17_only,0
Q27357161,1,0,P17_only,0
Q105337076,1,0,P17_only,0
Q117316141,1,0,P17_only,1
Q13365748,0,1,P131_only,1
Q12532210,1,0,P17_only,1
Q16676203,1,1,P17+P131,1
Q22204391,1,1,P17+P131,1
Q25525279,1,0,P17_only,1
Q1817051,1,1,P17+P131,1
Q12534866,1,0,P17_only,1
Q12527764,1,1,P17+P131,1
Q13648502,1,1,P17+P131,1
Q13646994,1,1,P17+P131,1
Q12712346,1,0,P17_only,0
Q20098160,1,1,P17+P131,1
Q15887842,1,0,P17_only,1
Q12550286,1,0,P17_only,1
Q12568023,1,0,P17_only,1
Q32177902,1,1,P17+P131,0
Q123363562,1,0,P17_only,0
Q30897583,1,0,P17_only,0
Q12531718,1,0,P17_only,1
Q13552124,0,1,P131_only,1
Q13643643,1,1,P17+P131,1
Q12577654,1,1,P17+P131,1
Q16723539,1,1,P17+P131,1
Q109497334,1,0,P17_only,0
Q12531749,1,1,P17+P131,1
Q30505,1,1,P17+P131,1
Q115807157,1,0,P17_only,1
Q20486059,1,0,P17_only,1
Q4506393,1,1,P17+P131,1
Q20466545,1,0,P17_only,0
Q12568755,1,1,P17+P131,1
Q12528912,1,0,P17_only,1
Q62416204,1,0,P17_only,0
Q12709480,1,0,P17_only,0
Q65256533,1,0,P17_only,0
Q12576073,1,0,P17_only,1
Q4243760,1,0,P17_only,1
Q27350895,1,1,P17+P131,0
Q16431303,1,1,P17+P131,1
Q12531283,1,0,P17_only,1
Q115865752,1,0,P17_only,0
Q18400667,1,1,P17+P131,0
Q4510205,0,1,P131_only,0
Q13667026,1,1,P17+P131,0
Q55574289,1,0,P17_only,1
Q4186455,1,0,P17_only,0
Q129880661,1,1,P17+P131,1
Q12578162,1,1,P17+P131,1
Q12579846,1,0,P17_only,1
Q16272563,1,1,P17+P131,1
Q18404954,1,1,P17+P131,0
Q62050317,1,0,P17_only,0
Q27354966,1,0,P17_only,0
Q30974382,1,1,P17+P131,1
Q12542544,1,1,P17+P131,1
Q13359413,0,1,P131_only,1
Q32184424,1,0,P17_only,0
Q12578158,1,1,P17+P131,1
Q123363573,1,0,P17_only,0
Q20486345,1,0,P17_only,1
Q17562741,1,1,P17+P131,1
Q12545549,1,0,P17_only,1
Q12548629,1,0,P17_only,1
Q27354808,1,0,P17_only,0
Q16650979,1,1,P17+P131,1
Q25388021,1,0,P17_only,1
Q27354816,1,0,P17_only,0
Q12575911,1,1,P17+P131,1
Q80068546,1,0,P17_only,0
Q32196799,1,0,P17_only,0
Q107610532,1,0,P17_only,0
Q135829824,1,0,P17_only,0
Q30897522,1,1,P17+P131,0
Q12536852,1,0,P17_only,1
Q12577776,1,1,P17+P131,1
Q18396506,1,1,P17+P131,1
Q106835813,1,0,P17_only,0
Q16685409,1,0,P17_only,1
Q12547087,1,1,P17+P131,1
Q27355112,1,0,P17_only,1
Q20098574,1,1,P17+P131,1
Q20484902,1,0,P17_only,1
Q13651716,1,1,P17+P131,1
Q12556927,1,0,P17_only,1
Q13651828,1,1,P17+P131,1
Q15617544,1,1,P17+P131,1
Q56367106,1,1,P17+P131,1
Q27357182,1,0,P17_only,0
Q12564339,1,0,P17_only,1
Q16663080,1,1,P17+P131,1
Q4059208,1,0,P17_only,1
Q108533836,1,0,P17_only,0
Q27352280,1,0,P17_only,1
Q65250593,1,0,P17_only,1
Q138783017,1,0,P17_only,1
Q4243767,1,0,P17_only,1
Q13643147,0,1,P131_only,1
Q64197966,1,0,P17_only,1
Q10858604,1,1,P17+P131,1
Q61368018,1,1,P17+P131,1
Q137409021,1,0,P17_only,0
Q137527267,1,0,P17_only,0
Q30508,1,1,P17+P131,1
Q12569658,1,1,P17+P131,1
Q4509481,1,1,P17+P131,1
Q12015297,1,1,P17+P131,1
Q16434242,1,1,P17+P131,1
Q16966214,1,1,P17+P131,0
Q123363826,1,0,P17_only,0
Q20098251,1,1,P17+P131,1
Q65259371,1,0,P17_only,0
Q4071058,1,0,P17_only,1
Q27431031,1,0,P17_only,0
Q112003981,1,0,P17_only,0
Q16650872,1,0,P17_only,1
Q28029074,1,0,P17_only,0
Q15845738,1,1,P17+P131,1
Q8013052,1,1,P17+P131,1
Q30972846,1,1,P17+P131,1
Q32175289,1,0,P17_only,0
Q16723612,1,1,P17+P131,1
Q27352797,1,0,P17_only,0
Q15807060,1,0,P17_only,0
Q136090733,1,0,P17_only,0
Q20484445,1,0,P17_only,1
Q13646629,1,1,P17+P131,1
Q135828506,1,0,P17_only,0
Q108785047,1,0,P17_only,0
Q20098203,1,1,P17+P131,1
Q20486214,1,0,P17_only,1
Q27357505,1,0,P17_only,0
Q30972179,1,1,P17+P131,1
Q18408902,1,1,P17+P131,1
Q12536514,1,0,P17_only,1
Q2996387,1,1,P17+P131,1
Q4348954,1,0,P17_only,1
Q30975024,1,1,P17+P131,1
Q27357654,1,0,P17_only,0
Q4165506,1,1,P17+P131,0
Q27357277,1,0,P17_only,0
Q125179584,1,0,P17_only,0
Q1100911,1,1,P17+P131,1
Q12551003,1,0,P17_only,1
Q135829095,1,0,P17_only,0
Q12543107,1,0,P17_only,1
Q12688092,1,0,P17_only,0
Q16677527,1,1,P17+P131,1
Q2177013,1,0,P17_only,0
Q13643381,1,1,P17+P131,1
Q27357107,1,0,P17_only,0
Q3274281,1,1,P17+P131,1
Q2218879,1,0,P17_only,0
Q27348484,1,0,P17_only,0
Q12573434,1,0,P17_only,1
Q27430528,1,0,P17_only,0
Q12561227,1,1,P17+P131,1
Q12530100,1,1,P17+P131,1
Q12570626,1,1,P17+P131,1
Q12576866,1,0,P17_only,1
Q16274633,1,1,P17+P131,1
Q12069867,1,1,P17+P131,1
Q30972335,1,1,P17+P131,1
Q20098261,1,1,P17+P131,1
Q61085378,1,0,P17_only,0
Q27353840,1,1,P17+P131,0
Q123363673,1,0,P17_only,0
Q22204715,1,1,P17+P131,1
Q13656057,1,1,P17+P131,1
Q16691590,1,1,P17+P131,1
Q16720496,1,1,P17+P131,1
Q4177996,1,0,P17_only,1
Q111402849,1,0,P17_only,0
Q13641858,1,1,P17+P131,1
Q85623867,1,0,P17_only,0
Q32192903,1,0,P17_only,0
Q12571220,1,1,P17+P131,1
Q12550814,1,1,P17+P131,1
Q27042498,1,0,P17_only,0
Q132313289,1,1,P17+P131,0
Q4273264,1,0,P17_only,0
Q4216631,1,0,P17_only,0
Q4400486,1,0,P17_only,0
Q2554556,1,1,P17+P131,1
Q16650901,1,1,P17+P131,1
Q15845723,1,1,P17+P131,1
Q27355060,1,0,P17_only,0
Q15617588,1,1,P17+P131,1
Q20484803,1,1,P17+P131,1
Q140937638,0,1,P131_only,0
Q20485713,1,1,P17+P131,1
Q20098560,1,1,P17+P131,1
