qid,in_p17,in_p131,relation_group,has_kkwiki
Q12554046,1,1,P17+P131,1
Q1881641,1,1,P17+P131,1
Q13642248,1,1,P17+P131,1
Q16694837,1,1,P17+P131,1
Q4448319,1,1,P17+P131,1
Q27348197,1,1,P17+P131,0
Q32196344,1,0,P17_only,0
Q16688130,1,1,P17+P131,1
Q12545335,1,0,P17_only,1
Q21619117,1,1,P17+P131,0
Q12532264,1,0,P17_only,1
Q13643083,0,1,P131_only,1
Q16272553,1,1,P17+P131,1
Q20484607,1,0,P17_only,1
Q55659884,1,0,P17_only,0
Q16669448,1,1,P17+P131,0
Q32177336,1,0,P17_only,0
Q15845724,1,1,P17+P131,1
Q12531321,1,0,P17_only,1
Q16661521,1,1,P17+P131,1
Q18398729,1,1,P17+P131,1
Q27430662,1,1,P17+P131,1
Q27351896,1,0,P17_only,0
Q27354976,1,0,P17_only,0
Q22204541,1,1,P17+P131,1
Q32183384,1,0,P17_only,0
Q123363588,1,0,P17_only,0
Q16689435,1,1,P17+P131,1
Q77860311,1,0,P17_only,0
Q3312325,1,1,P17+P131,1
Q16431239,1,1,P17+P131,1
Q18408713,1,0,P17_only,0
Q96385039,1,1,P17+P131,0
Q135828839,1,0,P17_only,0
Q12532247,1,0,P17_only,1
Q16689107,1,1,P17+P131,0
Q137527318,1,0,P17_only,0
Q16648038,1,1,P17+P131,0
