model,pairs,covered_correct,missing_correct,covered_pct,missing_pct,diff_pp,covered_only,missing_only,discordant_pairs,mcnemar_exact_p
GPT-5.6 Terra,126,40,35,31.746031746031743,27.77777777777778,3.9682539682539653,20,15,35,0.4995598332025112
Gemini 3.6 Flash,126,54,53,42.857142857142854,42.06349206349206,0.7936507936507908,18,17,35,1.0
