qid,has_kkwiki,p21,p21_group
Q130093566,0,Q6581097,Q6581097
Q130093565,0,Q6581097,Q6581097
Q130093570,0,Q6581097,Q6581097
Q130093568,0,Q6581097,Q6581097
Q130222558,1,Q6581097,Q6581097
Q130223354,0,Q6581072,Q6581072
Q130247995,0,Q6581097,Q6581097
Q130282791,0,Q6581097,Q6581097
Q130285801,0,Q6581097,Q6581097
Q130286348,1,Q6581097,Q6581097
Q130296585,0,Q6581097,Q6581097
Q130323807,0,Q6581097,Q6581097
Q130343711,0,Q6581072,Q6581072
Q130406943,0,Q6581072,Q6581072
Q130416749,0,Q6581072,Q6581072
Q130479537,1,Q6581097,Q6581097
Q130529436,0,Q6581097,Q6581097
Q130547623,0,Q6581072,Q6581072
Q130621749,0,Q6581072,Q6581072
Q130738641,0,Q6581072,Q6581072
Q131006590,0,Q6581097,Q6581097
Q131006979,0,Q6581097,Q6581097
Q131056244,0,,MISSING
Q131056377,1,,MISSING
Q131139737,0,Q6581097,Q6581097
Q131142865,0,Q6581097,Q6581097
Q131220715,0,Q6581097,Q6581097
Q131253241,0,Q6581097,Q6581097
Q131253556,1,,MISSING
Q131294815,1,Q6581097,Q6581097
Q131294948,0,Q6581097,Q6581097
Q131295201,0,Q6581097,Q6581097
Q131298370,0,Q6581072,Q6581072
Q131299849,0,Q6581097,Q6581097
Q131306118,0,Q6581097,Q6581097
Q131308287,0,Q6581097,Q6581097
Q131326730,0,Q6581097,Q6581097
Q131377021,0,,MISSING
Q131377027,0,,MISSING
Q131418813,0,Q6581072,Q6581072
Q131448068,0,Q6581097,Q6581097
Q131471409,1,Q6581097,Q6581097
Q131518887,0,Q6581097,Q6581097
Q131523312,0,,MISSING
Q131523357,0,,MISSING
Q131523362,0,,MISSING
Q131613006,1,,MISSING
Q131613550,1,Q6581072,Q6581072
Q131614002,1,,MISSING
Q131727658,0,Q6581097,Q6581097
Q131744414,0,Q6581097,Q6581097
Q131744492,0,Q6581097,Q6581097
Q131755323,0,Q6581072,Q6581072
Q131839480,1,Q6581097,Q6581097
Q131857033,1,,MISSING
Q131914697,1,Q6581072,Q6581072
Q131999273,0,,MISSING
Q132106145,0,Q6581097,Q6581097
Q132157242,0,Q6581097,Q6581097
Q132157885,0,,MISSING
Q132175679,0,Q6581097,Q6581097
Q132179208,1,,MISSING
Q132179672,1,,MISSING
Q132180956,1,,MISSING
Q132181199,1,,MISSING
Q132184416,0,Q6581097,Q6581097
Q132210292,0,Q6581072,Q6581072
Q132308196,0,Q6581072,Q6581072
Q132463635,0,Q6581097,Q6581097
Q132560612,1,Q6581072,Q6581072
Q132796786,0,Q6581097,Q6581097
Q132852310,0,Q6581097,Q6581097
Q132858117,0,Q6581097,Q6581097
Q132858330,0,Q6581097,Q6581097
Q132860202,0,Q6581072,Q6581072
Q132860203,0,Q6581097,Q6581097
Q132860200,0,Q6581072,Q6581072
Q132860201,0,Q6581072,Q6581072
Q132860206,0,Q6581097,Q6581097
Q132860204,0,Q6581097,Q6581097
Q132860205,0,Q6581097,Q6581097
Q132861503,1,Q6581097,Q6581097
Q132861682,0,Q6581097,Q6581097
Q132862465,0,Q6581097,Q6581097
Q132862601,0,Q6581097,Q6581097
Q132863311,0,Q6581097,Q6581097
Q132891874,0,Q6581097,Q6581097
Q132892450,0,Q6581097,Q6581097
Q132904688,1,,MISSING
Q132906840,0,Q6581097,Q6581097
Q132989294,1,Q6581072,Q6581072
Q132990313,1,Q6581097,Q6581097
Q133014981,0,Q6581097,Q6581097
Q133015200,0,Q6581097,Q6581097
Q133017715,0,Q6581097,Q6581097
Q133019935,0,Q6581097,Q6581097
Q133034544,0,Q6581097,Q6581097
Q133037368,1,Q6581072,Q6581072
