model,pair_property_tests,covered_correct,missing_correct,covered_accuracy,missing_accuracy,difference,ci_low,ci_high,cluster_permutation_p
gemini-3.6-flash,143,86,84,0.6013986013986014,0.5874125874125874,0.013986013986013957,-0.05633802816901401,0.08441558441558439,0.845000774996125
gpt-5.6-terra,143,74,73,0.5174825174825175,0.5104895104895105,0.006993006993006978,-0.06756756756756754,0.08633093525179858,1.0
