p31,gap_entities,mean_other_wikipedias,median_other_wikipedias,wiki_2plus,wiki_5plus,wiki_10plus,covered_entities,observed_reference_universe,coverage_pct,gap_pct,wiki_2plus_pct,wiki_5plus_pct,wiki_10plus_pct,label_en,label_kk,label_ru
Q16680663,7,1.57,2.0,4,0,0,0,7,0.0,100.0,57.14,0.0,0.0,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan
Q22698,7,1.29,1.0,1,0,0,11,18,61.11,38.89,14.29,0.0,0.0,park,park,парк
Q44613,7,1.43,1.0,2,0,0,0,7,0.0,100.0,28.57,0.0,0.0,monastery,Монастырь,монастырь
Q55470128,7,1.0,1.0,0,0,0,0,7,0.0,100.0,0.0,0.0,0.0,intermittent oxbow lake,intermittent oxbow lake,intermittent oxbow lake
Q55659167,7,1.0,1.0,0,0,0,1,8,12.5,87.5,0.0,0.0,0.0,natural watercourse,natural watercourse,естественный водоток
Q736917,7,1.14,1.0,1,0,0,2,9,22.22,77.78,14.29,0.0,0.0,geological formation,geological formation,геологическая формация
Q8514,7,1.29,1.0,1,0,0,13,20,65.0,35.0,14.29,0.0,0.0,desert,Шөл,пустыня
Q41710,6,5.5,5.0,5,4,1,25,31,80.65,19.35,83.33,66.67,16.67,ethnic group,этникалық топ,этническая группа
Q47345468,6,8.0,7.5,6,3,3,0,6,0.0,100.0,100.0,50.0,50.0,tennis tournament edition,tennis tournament edition,розыгрыш теннисного турнира
Q6617741,6,4.5,4.0,6,2,0,2,8,25.0,75.0,100.0,33.33,0.0,WWF ecoregion,WWF ecoregion,WWF ecoregion
Q114609228,6,2.67,1.5,3,1,0,3,9,33.33,66.67,50.0,16.67,0.0,recurring sporting event edition,recurring sporting event edition,версия повторяющегося спортивного события
Q483110,6,3.83,2.0,4,1,1,21,27,77.78,22.22,66.67,16.67,16.67,stadium,стадион,стадион
Q5926864,6,2.0,1.0,1,1,0,3,9,33.33,66.67,16.67,16.67,0.0,group of lakes,group of lakes,группа озёр
Q13406554|Q18608583,6,1.83,1.5,3,0,0,0,6,0.0,100.0,50.0,0.0,0.0,,,
Q15043657,6,3.33,3.0,6,0,0,1,7,14.29,85.71,100.0,0.0,0.0,Tour of Almaty,Алматы Туры 2013,Тур Алматы
Q162875,6,1.0,1.0,0,0,0,52,58,89.66,10.34,0.0,0.0,0.0,mausoleum,кесене,мавзолей
Q188025|Q23397,6,3.0,3.0,6,0,0,0,6,0.0,100.0,100.0,0.0,0.0,,,
Q2403977,6,2.0,2.0,6,0,0,2,8,25.0,75.0,100.0,0.0,0.0,prison labour camp,prison labour camp,исправительно-трудовой лагерь
Q33060692,6,2.0,2.0,6,0,0,0,6,0.0,100.0,100.0,0.0,0.0,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships
Q4164871,6,1.67,1.0,2,0,0,9,15,60.0,40.0,33.33,0.0,0.0,position,лауазым,должность
Q46351685,6,1.33,1.0,2,0,0,0,6,0.0,100.0,33.33,0.0,0.0,national basketball team,national basketball team,сборная по баскетболу
Q4867756,6,2.0,1.0,2,0,0,0,6,0.0,100.0,33.33,0.0,0.0,basketball tournament,basketball tournament,баскетбольный турнир
Q6881511,6,1.0,1.0,0,0,0,38,44,86.36,13.64,0.0,0.0,0.0,enterprise,Кәсіпорын,предприятие
Q1262712,5,6.8,6.0,5,3,2,0,5,0.0,100.0,100.0,60.0,40.0,gas pipeline,Газжүргізгіш,газопровод
