p31,gap_entities,mean_other_wikipedias,median_other_wikipedias,wiki_2plus,wiki_5plus,wiki_10plus,covered_entities,observed_reference_universe,coverage_pct,gap_pct,wiki_2plus_pct,wiki_5plus_pct,wiki_10plus_pct,label_en,label_kk,label_ru
Q27020779,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,ice hockey team season,ice hockey team season,хоккейный сезон
Q27028153,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,tram depot,tram depot,трамвайное депо
Q2912397,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,single-day road race,single-day road race,однодневная велогонка
Q294414,2,1.5,1.5,1,0,0,2,4,50.0,50.0,50.0,0.0,0.0,public office,мемлекеттік лауазым,государственная должность
Q2944640,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,gas-fired power station,gas-fired power station,газовая электростанция
Q2990963,2,2.5,2.5,2,0,0,2,4,50.0,50.0,100.0,0.0,0.0,figure skating competition,figure skating competition,соревнование по фигурному катанию
Q30178840,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,SCO summit,SCO summit,Саммит ШОС
Q3270632,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,national championship,national championship,национальный чемпионат
Q34763,2,1.0,1.0,0,0,0,12,14,85.71,14.29,0.0,0.0,0.0,peninsula,түбек,полуостров
Q372690,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,consulate general,consulate general,генеральное консульство
Q3874020,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,national youth sports team,national youth sports team,молодёжная сборная
Q3910963|Q47403752,2,3.0,3.0,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,,,
Q3982337,2,1.0,1.0,0,0,0,1,3,33.33,66.67,0.0,0.0,0.0,puppetry company,puppetry company,театр кукол
Q4087929,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,deanery,deanery,благочиние
Q4318087,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,oil and gas bearing oblast,oil and gas bearing oblast,нефтегазоносная область
Q47521,2,1.0,1.0,0,0,0,2,4,50.0,50.0,0.0,0.0,0.0,stream,stream,ручей
Q498002,2,2.5,2.5,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,aerial tramway,aerial tramway,воздушный трамвай
Q5003624,2,1.0,1.0,0,0,0,2,4,50.0,50.0,0.0,0.0,0.0,memorial,memorial,мемориал
Q55678,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,railway stop,railway stop,остановочный пункт на железной дороге
Q56061,2,1.5,1.5,1,0,0,12,14,85.71,14.29,50.0,0.0,0.0,administrative territorial entity,әкімшілік-аумақтық бөлініс,административно-территориальная единица
Q60754876,2,2.0,2.0,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,grade of an order,grade of an order,степень ордена
Q6138323,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,railway workshop,railway workshop,вагоноремонтное предприятие
Q63418223,2,1.0,1.0,0,0,0,1,3,33.33,66.67,0.0,0.0,0.0,women’s national volleyball team,women’s national volleyball team,женская сборная страны по волейболу
Q695850,2,3.5,3.5,2,0,0,3,5,60.0,40.0,100.0,0.0,0.0,airbase,Авиациялық база,военный аэродром
Q7075,2,1.0,1.0,0,0,0,16,18,88.89,11.11,0.0,0.0,0.0,library,кітапхана,библиотека
Q757292,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,border checkpoint,border checkpoint,пункт пропуска через государственную границу
Q783794,2,1.0,1.0,0,0,0,3,5,60.0,40.0,0.0,0.0,0.0,company,фирма,компания
Q810808,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,batholith,Батолит,Батолит
Q811534,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,remarkable tree,remarkable tree,примечательное дерево
Q83405,2,1.5,1.5,1,0,0,6,8,75.0,25.0,50.0,0.0,0.0,factory,Фабрика,фабрика
Q99527323,2,1.5,1.5,1,0,0,1,3,33.33,66.67,50.0,0.0,0.0,architecture of geographic location,architecture of geographic location,архитектура территории
Q100786919|Q47345468,1,11.0,11.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q100786919|Q47403752,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q105390172,1,15.0,15.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,Roman Catholic metropolitan archdiocese,Roman Catholic metropolitan archdiocese,римско-католическая митрополия-архиепископия
Q105758271|Q1345691,1,13.0,13.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q105897950,1,12.0,12.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,agriculture by country or territory,agriculture by country or territory,сельское хозяйство на территории
Q106123|Q34442,1,18.0,18.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q107357104|Q108436459,1,12.0,12.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q107637871,1,27.0,27.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,transboundary site,transboundary site,transboundary site
Q11086064|Q3887|Q64728935,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q112128334|Q46169|Q473972,1,8.0,8.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q113254938,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,spacecraft fleet,spacecraft fleet,Космический флот
Q113681824|Q2990216|Q4830453,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q114609228|Q13406554|Q18325242|Q2949123,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q115346835|Q183366,1,53.0,53.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q115346835|Q6617741,1,38.0,38.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q117103628,1,8.0,8.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,national water polo team,national water polo team,national water polo team
Q1193236|Q17232649,1,14.0,14.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q119942457|Q2466826,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q12018180|Q1437459|Q4421924,1,40.0,40.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q12164334|Q1445650,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q124221947|Q6617741|Q8514,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q12552199,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,main gas pipeline,Магистральды газ құбыры,магистральный газопровод
Q1288568|Q2966838|Q33742,1,11.0,11.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q1288568|Q34770,1,50.0,50.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q12932380,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,Hinduism of an area,Hinduism of an area,индуизм на территории
Q130212458|Q55488,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q1318941|Q2912397,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q135747780,1,12.0,12.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,women's national ice hockey team,women's national ice hockey team,women's national ice hockey team
Q137186904,1,31.0,31.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,transcontinental region,transcontinental region,трансконтинентальный регион
Q13785326,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,2014 Fed Cup,2014 Fed Cup,Кубок Федерации 2014
Q1431554,1,14.0,14.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,apostolic administration,apostolic administration,апостольская администратура
Q1431554|Q665487,1,12.0,12.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q149918|Q19362195,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q15239622|Q23442,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q163687,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,basilica,Базилика,базилика
Q16970|Q2031836|Q334383,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q17028018|Q210272,1,59.0,59.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q1756006|Q20652655|Q20653566,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q178706,1,8.0,8.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,institution,Әлеуметтік ұйым,общественный институт
Q17898,1,22.0,22.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,LGBT rights by country or territory,LGBT rights by country or territory,права ЛГБТ на территории
Q18389209|Q405155|Q43229|Q7834916,1,11.0,11.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q18493502|Q2223653,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q1933026,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,launch site,launch site,пусковая площадка
Q1933026|Q194188|Q53732481,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q1959314|Q23397,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q1970365,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,natural history museum,natural history museum,музей естественной истории
Q2026692,1,14.0,14.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,BN reactor,BN reactor,БН
Q2088357,1,5.0,5.0,1,1,0,1,2,50.0,50.0,100.0,100.0,0.0,musical ensemble,musical ensemble,музыкальный ансамбль
Q2306612,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,national road cycling championship,national road cycling championship,Национальный чемпионат по шоссейному велоспорту
Q2338524,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,motorsport racing track,Автодром,автодром
Q23397|Q47486890,1,26.0,26.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q23901137|Q6979593,1,8.0,8.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q24871403|Q350929,1,12.0,12.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q2515494,1,5.0,5.0,1,1,0,2,3,66.67,33.33,100.0,100.0,0.0,constitutional referendum,constitutional referendum,конституционный референдум
Q2739132,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,World Allround Speed Skating Championships for Men,World Allround Speed Skating Championships for Men,Чемпионат мира по конькобежному спорту в классическом многоборье — мужчины
Q28653|Q2888028|Q43229,1,30.0,30.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q295469|Q6617741,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q3241045|Q83741704,1,28.0,28.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q34379419|Q8514,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q34763|Q52103661,1,20.0,20.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q349,1,9.0,9.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,sport,спорт,спорт
Q35535|Q35798,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q35823051|Q46135307,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q3839081|Q7944|Q8065,1,8.0,8.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q3887|Q5681048,1,15.0,15.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q3887|Q5691927,1,11.0,11.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,,,
Q4296769,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,metropolitan district,metropolitan district,митрополичий округ
Q43109,1,5.0,5.0,1,1,0,1,2,50.0,50.0,100.0,100.0,0.0,referendum,референдум,референдум
Q4338251,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,MVD special camp,MVD special camp,Особые лагеря
Q4433740,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,women's national basketball team,women's national basketball team,Список женских национальных сборных по баскетболу
Q44512,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,epidemic,эпидемия,эпидемия
Q45762,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,dead language,өлі тілдер,мёртвый язык
Q47460286,1,8.0,8.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,national beach soccer team,national beach soccer team,сборная страны по пляжному футболу
Q4830453|Q489209|Q91908604,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q489209|Q820477,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q5225895,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,public limited company,public limited company,public limited company
Q55818,1,8.0,8.0,1,1,0,1,2,50.0,50.0,100.0,100.0,0.0,impact crater,Метеориттік кратер,ударный кратер
Q58841125,1,10.0,10.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,women's national rugby union team,women's national rugby union team,женская сборная страны по регби
Q58973026,1,7.0,7.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,rugby union governing body,rugby union governing body,rugby union governing body
Q59541917,1,25.0,25.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,Wikimedia topic category,Wikimedia topic category,тематическая категория Викимедиа
Q61441268,1,6.0,6.0,1,1,0,1,2,50.0,50.0,100.0,100.0,0.0,professional holiday,professional holiday,профессиональный праздник
Q620045,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,apostolic nunciature,apostolic nunciature,апостольская нунциатура
Q63364175,1,8.0,8.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,ice hockey federation,ice hockey federation,федерация хоккея
Q63416577,1,15.0,15.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,national volleyball team,national volleyball team,национальная сборная по волейболу
Q637017,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,episcopal conference,episcopal conference,конференция католических епископов
Q64025381,1,5.0,5.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,women's national rugby sevens team,women's national rugby sevens team,women's national rugby sevens team
Q6617741|Q8514,1,9.0,9.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,,,
Q66817758,1,15.0,15.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,national tennis team,national tennis team,сборная страны по теннису
Q69358181,1,16.0,16.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,human rights by country or territory,human rights by country or territory,права человека по странам или территориям
Q7251007,1,6.0,6.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,prostitution by region,prostitution by region,проституция на территории
Q75179296,1,8.0,8.0,1,1,0,1,2,50.0,50.0,100.0,100.0,0.0,ice hockey league,ice hockey league,хоккейная лига
Q769696,1,27.0,27.0,1,1,1,0,1,0.0,100.0,100.0,100.0,100.0,national minority,national minority,национальное меньшинство
Q875538,1,5.0,5.0,1,1,0,2,3,66.67,33.33,100.0,100.0,0.0,public university,public university,общественный университет
Q9259,1,9.0,9.0,1,1,0,0,1,0.0,100.0,100.0,100.0,0.0,World Heritage Site,Әлемдік мұра,всемирное наследие
Q102421356,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,national pavillon,national pavillon,national pavillon
Q10313934|Q23397,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q10379048,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,health technology,health technology,санитарные технологии
Q10517054,1,1.0,1.0,0,0,0,1,2,50.0,50.0,0.0,0.0,0.0,handball team,handball team,гандбольная команда
Q1057026|Q46970,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q105985,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,judiciary,Сот билігі,судебная власть
Q1060409,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,honor guard,honor guard,часовой
Q10624527,1,1.0,1.0,0,0,0,1,2,50.0,50.0,0.0,0.0,0.0,biographical museum,biographical museum,персональный музей
Q106317256,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,nuclear arsenal,nuclear arsenal,ядерный арсенал
Q106861159,1,4.0,4.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,national road cycling championships - ITT,national road cycling championships - ITT,Национальные чемпионаты по шоссейному велоспорту - индивидуальные гонки
Q106978510|Q420962,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q107359024,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,class of election,class of election,тип выборов
Q1078286,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,military band,military band,военный оркестр
Q1081138,1,4.0,4.0,1,0,0,1,2,50.0,50.0,100.0,0.0,0.0,historic site,historic site,памятник истории
Q1081138|Q41176,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q108395614|Q117819338|Q15720476,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q108788952|Q17524420,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q1088552,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,Catholic church building,костел,костёл
Q11033,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,mass media,бұқаралық ақпарат құралы,средство массовой информации
Q11033|Q35127,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q110548223,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,proposed legislation,proposed legislation,предлагаемый законодательный акт
Q112128334|Q112876|Q23790,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q112128334|Q46169,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q112128334|Q473972,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q11223998,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,IJF World Tour,IJF World Tour,IJF World Tour
Q11303,1,3.0,3.0,1,0,0,1,2,50.0,50.0,100.0,0.0,0.0,skyscraper,Көктіреген,небоскрёб
Q113065939,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,Embassy of the United States,Embassy of the United States,посольство США
Q11315|Q132510,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q11362251,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,World Judo Cadets Championships,World Judo Cadets Championships,World Judo Cadets Championships
Q114055312,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,national baseball team,national baseball team,national baseball team
Q114609228|Q11783626,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q114609228|Q18325242|Q2949123|Q61983760,1,4.0,4.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q114609228|Q27020041,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q115135140,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,futsal competition,futsal competition,соревнование по футзалу
Q1153191,1,1.0,1.0,0,0,0,1,2,50.0,50.0,0.0,0.0,0.0,online newspaper,online newspaper,интернет-издание
Q1153191|Q14350,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q11572907,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,order of succession,order of succession,Престолонаследие
Q11670533|Q1335652|Q2175765|Q928830,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q116953048,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,beach soccer club,beach soccer club,пляжный футбольный клуб
Q117086260,1,4.0,4.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,national field hockey team,national field hockey team,сборная по хоккею на траве
Q117819097,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,women's basketball club,women's basketball club,женский баскетбольный клуб
Q117819097|Q13393265,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q117819211,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,men's basketball club,men's basketball club,мужской баскетбольный клуб
Q11783626,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,athletics meeting,athletics meeting,соревнование по лёгкой атлетике
Q11812394,1,1.0,1.0,0,0,0,10,11,90.91,9.09,0.0,0.0,0.0,theatre company,theatre company,театральная организация
Q1181413,1,1.0,1.0,0,0,0,2,3,66.67,33.33,0.0,0.0,0.0,palace of culture,palace of culture,дворец культуры
Q118188609,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,beach soccer competition,beach soccer competition,соревнование по пляжному футболу
Q11892333,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,freedom of speech by country,freedom of speech by country,freedom of speech by country
Q1190554,1,1.0,1.0,0,0,0,1,2,50.0,50.0,0.0,0.0,0.0,occurrence,occurrence,событие
Q119442487,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,Kazakhstan Future Series,Kazakhstan Future Series,Kazakhstan Future Series
Q1197685,1,4.0,4.0,1,0,0,7,8,87.5,12.5,100.0,0.0,0.0,public holiday,public holiday,государственный праздник
Q119942457,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,UCI Women's Continental Team,UCI Women's Continental Team,UCI Women's Continental Team
Q120762068,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,Asian Road Cycling Championships - Women U23 ITT,Asian Road Cycling Championships - Women U23 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины U23)
Q12091026,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,coal deposit,coal deposit,угольное месторождение
Q121182,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,information system,Ақпарат жүйесі,информационная система
Q12132769,1,1.0,1.0,0,0,0,2,3,66.67,33.33,0.0,0.0,0.0,oil and gas field,oil and gas field,нефтегазовое месторождение
Q12132780,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,oil and gas bearing province,oil and gas bearing province,нефтегазоносная провинция
Q121556053,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,wrestling competition,wrestling competition,соревнования по борьбе
Q12280169,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,animal husbandry of an area,animal husbandry of an area,животноводство на территории
Q12308941,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,male given name,ер адамның жеке есімі,мужское личное имя
Q123237442,1,4.0,4.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,sex trafficking by country or territory,sex trafficking by country or territory,sex trafficking by country or territory
Q123705|Q22674925,1,4.0,4.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q123705|Q604435,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q123991|Q2221906,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q124098638,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,Roman Catholic ecclesiastical province,Roman Catholic ecclesiastical province,римско-католическая церковная провинция
Q12413618|Q1292279,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q1248784,1,1.0,1.0,0,0,0,31,32,96.88,3.12,0.0,0.0,0.0,airport,әуежай,аэропорт
Q1248784|Q4989906,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q1248784|Q695850,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q12518,1,1.0,1.0,0,0,0,3,4,75.0,25.0,0.0,0.0,0.0,tower,Мұнара,башня
Q125505344|Q130212458|Q21507948,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q125569386|Q209465,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q1268865,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,light rail,light rail,легкорельсовый транспорт
Q12737077|Q294414,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q12768272,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,Judaism of an area,Judaism of an area,иудаизм на территории
Q12830341,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,Eastern Orthodoxy of an area,Eastern Orthodoxy of an area,православие на территории
Q12830429,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,Protestantism of an area,Protestantism of an area,протестантизм на территории
Q12897688,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,Jehovah's Witnesses of an area,Jehovah's Witnesses of an area,Свидетели Иеговы на территории
Q12909644,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,political ideology,саяси идеология,политическая идеология
Q12973014|Q67608976|Q6979593,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q129730229,1,1.0,1.0,0,0,0,35,36,97.22,2.78,0.0,0.0,0.0,akimat of city of regional significance,облыстық маңызы бар қалалардың әкімдігі,акимат города областного значения
Q130003|Q4830453,1,2.0,2.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q130212458|Q24575110,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q13052937,1,4.0,4.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,Armenian Apostolic Church diocese,Armenian Apostolic Church diocese,епархия Армянской апостольской церкви
Q13107170|Q2244884|Q25619|Q89578131,1,3.0,3.0,1,0,0,0,1,0.0,100.0,100.0,0.0,0.0,,,
Q131569,1,2.0,2.0,1,0,0,2,3,66.67,33.33,100.0,0.0,0.0,treaty,Халықаралық келiсiмдер,международный договор
Q131569|Q2620826,1,1.0,1.0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,,,
Q131647,1,2.0,2.0,1,0,0,25,26,96.15,3.85,100.0,0.0,0.0,medal,медаль,медаль
