model,pair_property_tests,covered_nonanswers,missing_nonanswers,covered_nonanswer_rate,missing_nonanswer_rate,difference
gemini-3.6-flash,143,5,5,0.03496503496503497,0.03496503496503497,0.0
gpt-5.6-terra,143,28,40,0.1958041958041958,0.27972027972027974,-0.08391608391608393
