model,pairs,difference_pp,ci95_low_pp,ci95_high_pp
GPT-5.6 Terra,126,3.968253968253968,-5.555555555555555,12.698412698412698
Gemini 3.6 Flash,126,0.7936507936507936,-8.73015873015873,10.317460317460316
