qid,has_kkwiki,p21,p21_group,p21_corrected,gender
Q12561700,1,Q6581072,Q6581072,Q6581072,Female
Q12561720,1,Q6581072,Q6581072,Q6581072,Female
Q12561786,1,Q6581097,Q6581097,Q6581097,Male
Q12561784,1,Q6581097,Q6581097,Q6581097,Male
Q12561789,1,Q6581097,Q6581097,Q6581097,Male
Q12561821,1,Q6581097,Q6581097,Q6581097,Male
Q12561836,1,Q6581097,Q6581097,Q6581097,Male
Q12561856,1,Q6581097,Q6581097,Q6581097,Male
Q12562022,1,Q6581097,Q6581097,Q6581097,Male
Q12562033,1,Q6581097,Q6581097,Q6581097,Male
Q12562054,1,Q6581097,Q6581097,Q6581097,Male
Q12562063,1,Q6581097,Q6581097,Q6581097,Male
Q12562066,1,Q6581097,Q6581097,Q6581097,Male
Q12562104,1,Q6581097,Q6581097,Q6581097,Male
Q12562151,1,Q6581097,Q6581097,Q6581097,Male
Q12562162,1,Q6581097,Q6581097,Q6581097,Male
Q12562166,1,Q6581097,Q6581097,Q6581097,Male
Q12562167,1,Q6581097,Q6581097,Q6581097,Male
Q12562164,1,Q6581097,Q6581097,Q6581097,Male
Q12562168,1,Q6581097,Q6581097,Q6581097,Male
Q12562178,1,Q6581097,Q6581097,Q6581097,Male
Q12562179,1,Q6581097,Q6581097,Q6581097,Male
Q12562186,1,Q6581097,Q6581097,Q6581097,Male
Q12562191,1,Q6581097,Q6581097,Q6581097,Male
Q20483382,1,,MISSING,MISSING,Missing P21
Q20483385,1,Q6581097,Q6581097,Q6581097,Male
Q20483399,1,Q6581072,Q6581072,Q6581072,Female
Q20483409,1,Q6581097,Q6581097,Q6581097,Male
Q20483432,1,Q6581097,Q6581097,Q6581097,Male
Q20483445,1,Q6581097,Q6581097,Q6581097,Male
Q20483467,1,Q6581097,Q6581097,Q6581097,Male
Q20483471,1,Q6581072,Q6581072,Q6581072,Female
Q20483485,1,Q6581097,Q6581097,Q6581097,Male
Q20483503,1,Q6581097,Q6581097,Q6581097,Male
Q20483521,1,Q6581097,Q6581097,Q6581097,Male
Q20483524,1,Q6581097,Q6581097,Q6581097,Male
Q20483525,1,Q6581097,Q6581097,Q6581097,Male
Q20483543,1,Q6581097,Q6581097,Q6581097,Male
Q20483549,1,Q6581097,Q6581097,Q6581097,Male
Q20483559,1,Q6581097,Q6581097,Q6581097,Male
