qid,has_kkwiki,p21,p21_group,p21_corrected,gender
Q84612321,0,Q6581072,Q6581072,Q6581072,Female
Q84718777,0,Q6581097,Q6581097,Q6581097,Male
Q84719404,0,Q6581097,Q6581097,Q6581097,Male
Q84719798,0,Q6581097,Q6581097,Q6581097,Male
Q84720424,0,Q6581097,Q6581097,Q6581097,Male
Q84720510,0,Q6581097,Q6581097,Q6581097,Male
Q84720512,0,Q6581097,Q6581097,Q6581097,Male
Q84720577,1,Q6581097,Q6581097,Q6581097,Male
Q84720693,0,Q6581097,Q6581097,Q6581097,Male
Q84721146,1,Q6581097,Q6581097,Q6581097,Male
Q84721160,0,Q6581072,Q6581072,Q6581072,Female
Q84721299,0,Q6581097,Q6581097,Q6581097,Male
Q84721314,0,Q6581097,Q6581097,Q6581097,Male
Q84721595,1,Q6581072,Q6581072,Q6581072,Female
Q84721610,0,Q6581097,Q6581097,Q6581097,Male
Q84721618,1,Q6581072,Q6581072,Q6581072,Female
Q84721882,1,Q6581097,Q6581097,Q6581097,Male
Q84721988,0,Q6581097,Q6581097,Q6581097,Male
Q84722699,0,Q6581097,Q6581097,Q6581097,Male
Q84722871,1,Q6581072,Q6581072,Q6581072,Female
Q84722965,0,Q6581097,Q6581097,Q6581097,Male
Q84723230,0,Q6581097,Q6581097,Q6581097,Male
Q84723592,0,Q6581097,Q6581097,Q6581097,Male
Q84724245,0,Q6581097,Q6581097,Q6581097,Male
Q84724254,1,Q6581097,Q6581097,Q6581097,Male
Q84725303,0,Q6581097,Q6581097,Q6581097,Male
Q84725363,0,Q6581097,Q6581097,Q6581097,Male
Q84932318,0,Q6581097,Q6581097,Q6581097,Male
Q85137960,0,Q6581097,Q6581097,Q6581097,Male
Q85138049,0,Q6581097,Q6581097,Q6581097,Male
Q85682819,0,Q6581072,Q6581072,Q6581072,Female
Q85842300,0,Q6581097,Q6581097,Q6581097,Male
Q85857972,1,Q6581072,Q6581072,Q6581072,Female
Q85858029,0,Q6581072,Q6581072,Q6581072,Female
Q85858750,0,Q6581097,Q6581097,Q6581097,Male
Q85860098,0,Q6581097,Q6581097,Q6581097,Male
Q85860190,1,Q6581097,Q6581097,Q6581097,Male
