p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q8461,3,463.0,683.33,9.0,10.0,1.0,1.67,28.0,30.67,0,1,1,0,0,,,,0.0,33.33,33.33,0.0,0.0
Q8463186,14,469.0,568.14,0.0,0.14,0.0,0.07,24.0,36.14,12,13,4,4,4,national association football cup,national association football cup,кубок страны по футболу,85.71,92.86,28.57,28.57,28.57
Q8465,12,656.0,1417.5,1.0,3.33,3.5,25.33,31.0,44.0,5,2,1,0,0,,,,41.67,16.67,8.33,0.0,0.0
Q84669937,1,299.0,299.0,0.0,0.0,0.0,0.0,7.0,7.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q846785,1,78.0,78.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q846862,1,118.0,118.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q847017,83,217.0,283.08,0.0,0.77,0.0,0.14,6.0,11.16,55,77,48,35,34,sports club,sports club,спортивный клуб,66.27,92.77,57.83,42.17,40.96
Q847109,1,41.0,41.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q8473,2,135.5,135.5,1.5,1.5,0.0,0.0,14.0,14.0,0,2,2,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q847301,1,166.0,166.0,0.0,0.0,0.0,0.0,19.0,19.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q84752530,1,694.0,694.0,1.0,1.0,0.0,0.0,73.0,73.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q847600,2,40.5,40.5,0.0,0.0,0.0,0.0,1.0,1.0,2,2,2,2,2,,,,100.0,100.0,100.0,100.0,100.0
Q847705,1,106.0,106.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q847843,2,699.0,699.0,3.0,3.0,0.0,0.0,47.0,47.0,0,2,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q847906,3,111.0,222.0,1.0,2.0,0.0,0.0,11.0,9.67,0,3,2,0,0,online magazine,online magazine,интернет-журнал,0.0,100.0,66.67,0.0,0.0
Q847959,2,550.0,550.0,5.5,5.5,0.0,0.0,30.5,30.5,0,2,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q84823091,1,981.0,981.0,3.0,3.0,1.0,1.0,83.0,83.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q848330,1,574.0,574.0,7.0,7.0,1.0,1.0,8.0,8.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q848507,4,1199.0,1437.0,21.0,26.25,0.0,0.25,26.0,31.5,0,3,0,0,0,,,,0.0,75.0,0.0,0.0,0.0
Q84863712,1,694.0,694.0,3.0,3.0,0.0,0.0,55.0,55.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q848979,1,487.0,487.0,4.0,4.0,0.0,0.0,7.0,7.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
