p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q1000660,1,114.0,114.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1001051,1,34.0,34.0,1.0,1.0,0.0,0.0,2.0,2.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1001378,1,200.0,200.0,1.0,1.0,2.0,2.0,7.0,7.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q100151658,8,397.5,365.12,1.0,1.25,0.0,0.75,4.0,18.25,2,5,3,1,1,,,,25.0,62.5,37.5,12.5,12.5
Q100195948,4,166.5,173.0,1.5,2.0,0.0,0.5,6.0,5.5,0,3,3,0,0,,,,0.0,75.0,75.0,0.0,0.0
Q1002697,26,125.5,194.04,1.0,1.62,0.0,0.19,7.5,11.92,4,21,20,4,3,periodical,periodical,периодическое издание,15.38,80.77,76.92,15.38,11.54
Q100280511,1,32.0,32.0,0.0,0.0,1.0,1.0,11.0,11.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q100282728,1,129.0,129.0,2.0,2.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q100320664,1,390.0,390.0,4.0,4.0,0.0,0.0,18.0,18.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q100324353,1,972.0,972.0,1.0,1.0,6.0,6.0,15.0,15.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100341898,304,313.0,313.62,1.0,0.95,0.0,0.07,8.0,7.88,14,284,0,0,0,,,,4.61,93.42,0.0,0.0,0.0
Q100343219,2,305.5,305.5,3.0,3.0,0.0,0.0,9.0,9.0,0,2,1,0,0,,,,0.0,100.0,50.0,0.0,0.0
Q100349043,1,54.0,54.0,1.0,1.0,1.0,1.0,6.0,6.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q100434640,21,145.0,246.67,1.0,1.33,1.0,0.81,6.0,7.52,3,9,16,2,1,,,,14.29,42.86,76.19,9.52,4.76
Q1004415,1,81.0,81.0,1.0,1.0,1.0,1.0,2.0,2.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q1004875,1,940.0,940.0,12.0,12.0,3.0,3.0,38.0,38.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100546947,1,227.0,227.0,0.0,0.0,1.0,1.0,23.0,23.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q100589423,1,353.0,353.0,2.0,2.0,0.0,0.0,32.0,32.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q1006311,5,965.0,1749.0,0.0,1.2,1.0,1.2,71.0,110.4,3,2,2,2,1,,,,60.0,40.0,40.0,40.0,20.0
Q1006644,1,1384.0,1384.0,3.0,3.0,1.0,1.0,41.0,41.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100707163,2,924.5,924.5,6.5,6.5,0.5,0.5,119.0,119.0,1,1,1,1,1,,,,50.0,50.0,50.0,50.0,50.0
Q100709275,2,838.5,838.5,2.0,2.0,1.5,1.5,24.0,24.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100710213,18,142.0,295.0,0.5,0.56,1.0,0.56,3.0,5.67,9,8,13,7,4,,,,50.0,44.44,72.22,38.89,22.22
Q100724091,8,218.0,216.0,2.0,2.88,0.5,0.5,8.0,8.88,0,4,5,0,0,,,,0.0,50.0,62.5,0.0,0.0
Q1007356,1,2435.0,2435.0,10.0,10.0,2.0,2.0,130.0,130.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100744571,1,201.0,201.0,0.0,0.0,0.0,0.0,3.0,3.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q100773131,9,2056.0,2319.22,6.0,15.22,1.0,4.22,35.0,42.78,0,4,0,0,0,regional economy,regional economy,экономика региона,0.0,44.44,0.0,0.0,0.0
Q1008803,1,533.0,533.0,7.0,7.0,2.0,2.0,38.0,38.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q100900880,2,247.0,247.0,2.5,2.5,3.0,3.0,3.0,3.0,1,1,1,1,1,,,,50.0,50.0,50.0,50.0,50.0
Q100906234,3,573.0,890.33,1.0,1.0,0.0,0.33,56.0,44.33,1,2,0,0,0,,,,33.33,66.67,0.0,0.0,0.0
Q100912473,4,68.5,66.0,1.0,1.25,0.0,0.25,4.0,4.0,0,3,4,0,0,,,,0.0,75.0,100.0,0.0,0.0
Q1009249,2,226.5,226.5,1.0,1.0,0.5,0.5,30.5,30.5,0,1,1,0,0,,,,0.0,50.0,50.0,0.0,0.0
Q101038,1,62.0,62.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q101063310,1,1548.0,1548.0,25.0,25.0,1.0,1.0,76.0,76.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q101072,3,37.0,41.0,1.0,1.33,0.0,0.0,2.0,4.0,0,3,3,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q101137740,1,400.0,400.0,7.0,7.0,4.0,4.0,1.0,1.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q101208084,1,145.0,145.0,1.0,1.0,0.0,0.0,16.0,16.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q101244,5,356.0,398.8,3.0,4.2,0.0,0.4,7.0,16.8,1,3,2,1,1,,,,20.0,60.0,40.0,20.0,20.0
Q101251494,1,67.0,67.0,0.0,0.0,1.0,1.0,6.0,6.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q101352,6,152.0,305.5,1.0,2.67,0.0,0.67,9.5,10.67,0,4,4,0,0,,,,0.0,66.67,66.67,0.0,0.0
Q101401,2,185.0,185.0,0.5,0.5,1.0,1.0,6.0,6.0,1,1,2,1,0,bell,Қоңырау,колокол,50.0,50.0,100.0,50.0,0.0
Q101408242,2,1473.0,1473.0,0.0,0.0,0.5,0.5,22.0,22.0,2,1,1,1,0,,,,100.0,50.0,50.0,50.0,0.0
Q1015103,1,358.0,358.0,0.0,0.0,0.0,0.0,9.0,9.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q101965,3,198.0,330.0,1.0,1.33,0.0,0.33,9.0,11.33,0,2,2,0,0,,,,0.0,66.67,66.67,0.0,0.0
Q101998,7,260.0,372.57,1.0,1.43,2.0,2.14,24.0,21.0,0,0,3,0,0,,,,0.0,0.0,42.86,0.0,0.0
Q102047,5,51.0,274.6,1.0,1.8,0.0,0.2,5.0,21.6,0,4,4,0,0,,,,0.0,80.0,80.0,0.0,0.0
Q102104752,1,447.0,447.0,2.0,2.0,7.0,7.0,14.0,14.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q1021645,6,350.5,310.17,0.5,1.33,0.0,0.5,6.5,8.0,3,4,2,0,0,,,,50.0,66.67,33.33,0.0,0.0
Q1021711,36,282.5,282.33,0.0,0.28,0.0,0.19,6.0,6.0,28,29,2,1,0,,,,77.78,80.56,5.56,2.78,0.0
Q102202066,1,248.0,248.0,1.0,1.0,1.0,1.0,5.0,5.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q102335849,2,65.5,65.5,0.0,0.0,0.0,0.0,21.0,21.0,2,2,2,2,2,,,,100.0,100.0,100.0,100.0,100.0
Q102336293,2,1656.5,1656.5,13.0,13.0,1.0,1.0,27.0,27.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q102345381,1,587.0,587.0,22.0,22.0,2.0,2.0,16.0,16.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q102356,1,183.0,183.0,1.0,1.0,1.0,1.0,16.0,16.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q1024817,1,239.0,239.0,1.0,1.0,0.0,0.0,11.0,11.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1025961,1,564.0,564.0,5.0,5.0,1.0,1.0,40.0,40.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q10260870,2,320.0,320.0,1.5,1.5,1.0,1.0,28.0,28.0,0,0,1,0,0,,,,0.0,0.0,50.0,0.0,0.0
Q102626,1,101.0,101.0,1.0,1.0,0.0,0.0,6.0,6.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q10265536,1,215.0,215.0,0.0,0.0,0.0,0.0,6.0,6.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q10270157,2,332.5,332.5,0.0,0.0,2.0,2.0,15.0,15.0,2,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q10273457,1,179.0,179.0,2.0,2.0,1.0,1.0,8.0,8.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q10277595,5,273.0,273.0,0.0,0.0,0.0,0.2,7.0,7.0,5,4,0,0,0,,,,100.0,80.0,0.0,0.0,0.0
Q102786,4,180.0,584.25,1.0,11.0,0.5,1.25,4.0,21.5,1,2,2,0,0,,,,25.0,50.0,50.0,0.0,0.0
Q10282327,1,41.0,41.0,1.0,1.0,0.0,0.0,4.0,4.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1029123,1,291.0,291.0,0.0,0.0,0.0,0.0,8.0,8.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q10294,1,73.0,73.0,1.0,1.0,3.0,3.0,7.0,7.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q1029418,1,127.0,127.0,2.0,2.0,0.0,0.0,16.0,16.0,0,1,1,0,0,children's magazine,children's magazine,детский журнал,0.0,100.0,100.0,0.0,0.0
Q10300916,1,1340.0,1340.0,3.0,3.0,1.0,1.0,3.0,3.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q1030403,1,56.0,56.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q103112098,1,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q10313934,1,272.0,272.0,1.0,1.0,0.0,0.0,3.0,3.0,0,1,0,0,0,intermittent lake,intermittent lake,сезонное озеро,0.0,100.0,0.0,0.0,0.0
Q1032150,1,187.0,187.0,0.0,0.0,0.0,0.0,6.0,6.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q103229495,46,335.0,511.04,0.0,1.11,0.0,0.41,9.5,24.85,33,41,11,9,8,,,,71.74,89.13,23.91,19.57,17.39
Q1033074,1,2682.0,2682.0,3.0,3.0,0.0,0.0,25.0,25.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q10338607,3,456.0,499.0,0.0,0.33,0.0,0.0,73.0,48.67,2,3,0,0,0,,,,66.67,100.0,0.0,0.0,0.0
Q103495,3,2263.0,2071.33,7.0,6.33,41.0,34.0,140.0,120.33,1,0,0,0,0,,,,33.33,0.0,0.0,0.0,0.0
Q1035294,1,720.0,720.0,0.0,0.0,4.0,4.0,0.0,0.0,1,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q103537,1,39.0,39.0,1.0,1.0,0.0,0.0,3.0,3.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q10354598,21,268.0,313.62,2.0,2.48,0.0,0.0,7.0,8.62,0,21,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q103632,49,236.0,321.88,0.0,0.55,0.0,0.02,7.0,10.04,40,48,27,24,24,,,,81.63,97.96,55.1,48.98,48.98
Q1036775,1,578.0,578.0,0.0,0.0,0.0,0.0,38.0,38.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q1037166,1,196.0,196.0,0.0,0.0,0.0,0.0,7.0,7.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q10376408,1,47.0,47.0,1.0,1.0,0.0,0.0,6.0,6.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q103810966,2,202.5,202.5,0.5,0.5,0.5,0.5,5.0,5.0,1,1,1,0,0,,,,50.0,50.0,50.0,0.0,0.0
Q103812529,46,195.5,409.76,1.0,1.72,1.0,1.09,8.5,13.63,2,8,25,2,1,,,,4.35,17.39,54.35,4.35,2.17
Q103813668,1,58.0,58.0,1.0,1.0,1.0,1.0,6.0,6.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q103817,35,55.0,196.69,1.0,1.57,0.0,0.43,2.0,4.66,17,29,29,17,17,,,,48.57,82.86,82.86,48.57,48.57
Q10383930,2,514.5,514.5,6.0,6.0,1.5,1.5,15.0,15.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q103843025,9,163.0,468.0,1.0,1.67,0.0,0.67,6.0,14.56,0,5,5,0,0,,,,0.0,55.56,55.56,0.0,0.0
Q103843042,5,322.0,342.2,1.0,2.0,1.0,1.0,11.0,11.2,0,1,1,0,0,,,,0.0,20.0,20.0,0.0,0.0
Q103843052,1,230.0,230.0,1.0,1.0,1.0,1.0,6.0,6.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q103843146,2,107.5,107.5,1.0,1.0,1.5,1.5,3.0,3.0,0,0,2,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q10387680,1,493.0,493.0,9.0,9.0,1.0,1.0,8.0,8.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q10387689,3,80.0,74.33,0.0,0.33,0.0,0.0,3.0,3.33,2,3,3,2,2,,,,66.67,100.0,100.0,66.67,66.67
Q103903440,2,311.5,311.5,2.0,2.0,2.0,2.0,10.0,10.0,0,0,1,0,0,,,,0.0,0.0,50.0,0.0,0.0
Q103907369,4,338.0,1091.25,1.5,1.5,1.0,1.5,18.5,24.5,0,2,2,0,0,,,,0.0,50.0,50.0,0.0,0.0
Q103914748,12,333.0,651.0,2.0,3.08,1.0,1.17,15.0,22.5,1,4,4,1,1,,,,8.33,33.33,33.33,8.33,8.33
Q103915493,1,464.0,464.0,1.0,1.0,0.0,0.0,6.0,6.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q1039303,8,113.5,282.0,1.0,1.12,1.0,0.88,8.0,8.88,0,2,6,0,0,,,,0.0,25.0,75.0,0.0,0.0
Q103982390,1,67.0,67.0,1.0,1.0,1.0,1.0,3.0,3.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q103998385,1,96.0,96.0,1.0,1.0,1.0,1.0,3.0,3.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q104007623,1,28.0,28.0,0.0,0.0,1.0,1.0,4.0,4.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q104018785,1,44.0,44.0,1.0,1.0,2.0,2.0,2.0,2.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q104025222,2,514.5,514.5,1.0,1.0,6.5,6.5,49.5,49.5,0,1,1,0,0,,,,0.0,50.0,50.0,0.0,0.0
Q104027169,7,828.0,860.14,2.0,2.29,2.0,2.29,33.0,33.71,1,1,0,0,0,,,,14.29,14.29,0.0,0.0,0.0
Q104027338,1,89.0,89.0,1.0,1.0,2.0,2.0,5.0,5.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q1040689,21,170.0,259.86,1.0,1.05,0.0,0.33,15.0,17.81,3,15,16,3,3,,,,14.29,71.43,76.19,14.29,14.29
Q104083,1,247.0,247.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q104086571,9,685.0,1089.89,1.0,1.89,1.0,2.33,39.0,63.33,2,3,2,1,0,,,,22.22,33.33,22.22,11.11,0.0
Q104098715,2,123.5,123.5,0.5,0.5,0.5,0.5,5.0,5.0,1,1,2,1,0,,,,50.0,50.0,100.0,50.0,0.0
Q104117291,2,365.5,365.5,0.5,0.5,1.0,1.0,11.5,11.5,1,1,0,0,0,,,,50.0,50.0,0.0,0.0,0.0
Q104193250,12,173.5,475.08,1.0,1.25,0.0,0.33,12.0,20.75,1,9,8,1,1,,,,8.33,75.0,66.67,8.33,8.33
Q104212151,7,601.0,559.43,1.0,2.14,0.0,0.43,24.0,23.57,3,5,2,1,1,,,,42.86,71.43,28.57,14.29,14.29
Q104213567,1,407.0,407.0,0.0,0.0,0.0,0.0,17.0,17.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q104214643,1,2102.0,2102.0,9.0,9.0,4.0,4.0,70.0,70.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q10428845,2,196.0,196.0,1.0,1.0,0.0,0.0,8.5,8.5,1,2,1,1,1,,,,50.0,100.0,50.0,50.0,50.0
Q10429667,18,374.5,615.5,0.5,7.61,1.0,3.22,18.0,29.39,9,8,8,5,3,,,,50.0,44.44,44.44,27.78,16.67
Q10431430,1,413.0,413.0,11.0,11.0,1.0,1.0,17.0,17.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q1043452,1,57.0,57.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q104370547,1,77.0,77.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q104415895,2,136.0,136.0,2.0,2.0,0.5,0.5,14.5,14.5,0,1,2,0,0,,,,0.0,50.0,100.0,0.0,0.0
Q1044181,1,299.0,299.0,0.0,0.0,0.0,0.0,10.0,10.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q1044361,1,97.0,97.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q1044880,1,308.0,308.0,0.0,0.0,0.0,0.0,6.0,6.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q104493,1,221.0,221.0,1.0,1.0,0.0,0.0,15.0,15.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q10451997,1,1501.0,1501.0,8.0,8.0,10.0,10.0,36.0,36.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q1045608,3,582.0,606.67,5.0,3.67,1.0,2.0,33.0,39.0,0,1,1,0,0,,,,0.0,33.33,33.33,0.0,0.0
Q1045782,1,530.0,530.0,0.0,0.0,1.0,1.0,19.0,19.0,1,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q1046088,3,1882.0,1359.33,1.0,1.33,0.0,0.33,430.0,299.33,1,2,1,1,1,,,,33.33,66.67,33.33,33.33,33.33
Q104624828,2,135.5,135.5,2.5,2.5,0.5,0.5,7.0,7.0,0,1,2,0,0,,,,0.0,50.0,100.0,0.0,0.0
Q104630835,1,180.0,180.0,0.0,0.0,0.0,0.0,4.0,4.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q104637332,1,42.0,42.0,1.0,1.0,0.0,0.0,3.0,3.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q104637420,4,141.5,188.5,1.0,1.0,0.0,0.0,6.5,8.25,0,4,3,0,0,,,,0.0,100.0,75.0,0.0,0.0
Q104649845,3,276.0,327.0,1.0,1.0,0.0,0.0,12.0,14.33,1,3,1,0,0,,,,33.33,100.0,33.33,0.0,0.0
Q104692917,1,59.0,59.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q104698,1,71.0,71.0,0.0,0.0,0.0,0.0,8.0,8.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q1047050,9,363.0,332.78,2.0,3.44,0.0,0.22,12.0,12.0,0,7,4,0,0,,,,0.0,77.78,44.44,0.0,0.0
Q104708121,1,6110.0,6110.0,143.0,143.0,1.0,1.0,160.0,160.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q1047113,190,228.5,512.33,1.0,2.13,0.0,0.71,9.0,17.08,20,111,104,12,10,,,,10.53,58.42,54.74,6.32,5.26
Q1047180,1,2108.0,2108.0,65.0,65.0,36.0,36.0,104.0,104.0,0,0,0,0,0,air defense force,Құрлықтағы әскердің әуе шабуылына қарсы қорғаныс әскерлері,Войска противовоздушной обороны,0.0,0.0,0.0,0.0,0.0
Q104758299,1,182.0,182.0,0.0,0.0,1.0,1.0,3.0,3.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q1047683,4,102.0,105.5,0.5,0.5,0.5,0.5,4.5,4.0,2,2,4,2,2,,,,50.0,50.0,100.0,50.0,50.0
Q1047698,1,70.0,70.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q104782082,2,390.5,390.5,0.0,0.0,2.5,2.5,13.5,13.5,2,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q1047832,1,55.0,55.0,1.0,1.0,0.0,0.0,3.0,3.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1047879,1,63.0,63.0,1.0,1.0,1.0,1.0,6.0,6.0,0,0,1,0,0,Public Notary,нотариат,нотариат,0.0,0.0,100.0,0.0,0.0
Q104805859,1,81.0,81.0,1.0,1.0,0.0,0.0,6.0,6.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q1048111,3,185.0,217.67,1.0,0.67,1.0,1.33,9.0,11.67,1,0,2,1,0,,,,33.33,0.0,66.67,33.33,0.0
Q1048163,3,149.0,263.67,0.0,0.33,0.0,0.0,4.0,5.33,2,3,2,1,1,,,,66.67,100.0,66.67,33.33,33.33
Q1048236,1,42.0,42.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q104840802,2,938.0,938.0,5.5,5.5,0.0,0.0,30.5,30.5,0,2,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q1048447,3,288.0,405.0,0.0,0.0,1.0,0.67,17.0,15.0,3,1,1,1,1,,,,100.0,33.33,33.33,33.33,33.33
Q104869738,1,525.0,525.0,1.0,1.0,0.0,0.0,49.0,49.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q1048835,12,477.5,612.42,1.0,2.17,0.0,1.0,23.5,24.92,4,8,0,0,0,,,,33.33,66.67,0.0,0.0,0.0
Q10492745,1,64.0,64.0,0.0,0.0,1.0,1.0,7.0,7.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q104934,4,187.5,173.5,0.5,0.75,0.0,0.25,6.0,7.75,2,3,4,2,2,,,,50.0,75.0,100.0,50.0,50.0
Q1049394,1,1179.0,1179.0,1.0,1.0,2.0,2.0,16.0,16.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q1049494,3,186.0,187.33,1.0,1.67,2.0,2.67,1.0,0.67,0,0,2,0,0,,,,0.0,0.0,66.67,0.0,0.0
Q1049757,28,308.5,319.0,0.0,1.07,1.0,0.61,11.0,12.64,16,13,11,7,3,,,,57.14,46.43,39.29,25.0,10.71
Q10498305,1,64.0,64.0,0.0,0.0,1.0,1.0,7.0,7.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q1050260,1,210.0,210.0,1.0,1.0,1.0,1.0,2.0,2.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q105047633,1,439.0,439.0,1.0,1.0,0.0,0.0,16.0,16.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q1050494,1,80.0,80.0,1.0,1.0,0.0,0.0,7.0,7.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q105074756,1,556.0,556.0,3.0,3.0,1.0,1.0,7.0,7.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q105096490,5,56.0,84.0,1.0,1.0,1.0,0.6,2.0,3.4,1,2,5,1,0,,,,20.0,40.0,100.0,20.0,0.0
Q1051282,1,524.0,524.0,3.0,3.0,1.0,1.0,37.0,37.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q10514020,3,58.0,349.0,1.0,1.0,0.0,0.33,4.0,32.67,0,2,2,0,0,,,,0.0,66.67,66.67,0.0,0.0
Q1051606,1,1340.0,1340.0,3.0,3.0,1.0,1.0,3.0,3.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q1051623,1,76.0,76.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q10517054,6,160.5,254.5,0.0,1.33,0.0,1.5,2.5,5.0,4,4,4,3,2,handball team,handball team,гандбольная команда,66.67,66.67,66.67,50.0,33.33
Q105210,2,317.5,317.5,1.0,1.0,0.0,0.0,4.0,4.0,0,2,1,0,0,,,,0.0,100.0,50.0,0.0,0.0
Q1052595,1,38.0,38.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q1052804,3,225.0,198.67,0.0,0.67,1.0,1.0,5.0,5.0,2,1,3,2,1,,,,66.67,33.33,100.0,66.67,33.33
Q10528974,2,432.0,432.0,2.0,2.0,1.0,1.0,22.5,22.5,0,0,1,0,0,,,,0.0,0.0,50.0,0.0,0.0
Q1052919,1,189.0,189.0,0.0,0.0,1.0,1.0,2.0,2.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q1053113,1,132.0,132.0,1.0,1.0,2.0,2.0,0.0,0.0,0,0,1,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q1053916,2,1393.0,1393.0,2.0,2.0,2.5,2.5,24.0,24.0,0,0,1,0,0,,,,0.0,0.0,50.0,0.0,0.0
Q10541491,24,171.5,318.58,1.5,1.79,0.0,1.17,10.0,15.42,3,20,15,2,1,legal form,legal form,правовая форма,12.5,83.33,62.5,8.33,4.17
Q1054411,1,295.0,295.0,3.0,3.0,1.0,1.0,12.0,12.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q10545864,4,101.5,116.75,0.5,0.5,0.0,0.25,4.5,5.0,2,3,4,2,2,,,,50.0,75.0,100.0,50.0,50.0
Q10547643,1,96.0,96.0,0.0,0.0,1.0,1.0,9.0,9.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q105485678,1,382.0,382.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q10549775,2,475.0,475.0,1.0,1.0,0.0,0.0,45.0,45.0,0,2,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q10549978,1,194.0,194.0,0.0,0.0,1.0,1.0,8.0,8.0,1,0,1,1,0,,,,100.0,0.0,100.0,100.0,0.0
Q1055028,1,674.0,674.0,2.0,2.0,3.0,3.0,37.0,37.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q10551516,1,153.0,153.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q10551526,2,2619.0,2619.0,5.5,5.5,4.5,4.5,67.5,67.5,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
