p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q44512,1,0,1,0.0,1,1,0,7.0,epidemic,эпидемия,эпидемия
Q44539,1,1,0,100.0,0,0,0,,,,
Q446013,1,0,1,0.0,0,0,0,1.0,pumping station,Сорғы станциясы,насосная станция
Q44613,7,0,7,0.0,2,0,0,1.43,monastery,Монастырь,монастырь
Q4476438,59,57,2,96.61,0,0,0,1.0,former district of Kazakhstan,Қазақстанның таратылған аудандары,упразднённые районы Казахстана
Q44782,1,1,0,100.0,0,0,0,,,,
Q4493701,1,1,0,100.0,0,0,0,,,,
Q4498974,25,10,15,40.0,10,6,1,4.27,ice hockey team,ice hockey team,хоккейная команда
Q4508,1,1,0,100.0,0,0,0,,,,
Q4530848,1,1,0,100.0,0,0,0,,,,
Q4533081,1,1,0,100.0,0,0,0,,,,
Q4539,1,0,1,0.0,0,0,0,1.0,cooperative,Кооператив,кооператив
Q45400320,2,2,0,100.0,0,0,0,,,,
Q45762,1,0,1,0.0,1,1,0,7.0,dead language,өлі тілдер,мёртвый язык
Q45791,1,1,0,100.0,0,0,0,,,,
Q46124,5,4,1,80.0,0,0,0,1.0,sanatorium,Шипажай,санаторий
Q46135307,71,1,70,1.41,40,9,0,2.5,nation at sport competition,nation at sport competition,страна на спортивном соревновании
Q46169,14,12,2,85.71,2,1,0,5.0,national park,Ұлттық парк,национальный парк
Q46190676,2,0,2,0.0,2,2,0,5.0,tennis event,tennis event,теннисное мероприятие
Q46195901,15,1,14,6.67,14,9,0,5.21,Paralympics delegation,Paralympics delegation,страна на Паралимпийских играх
Q46351685,6,0,6,0.0,2,0,0,1.33,national basketball team,national basketball team,сборная по баскетболу
Q464780,1,1,0,100.0,0,0,0,,,,
Q465299,1,1,0,100.0,0,0,0,,,,
Q4654165,8,0,8,0.0,0,0,0,1.0,Category:Wikipedia meetups,Category:Wikipedia meetups,Категория:Википедия:Викивстречи
Q46622,5,1,4,20.0,4,4,1,8.5,controlled-access highway,Автомагистраль,автомагистраль
Q4671277,4,1,3,25.0,1,0,0,1.33,academic institution,академиялық оқу орны,академическое учебное заведение
Q46831,331,97,234,29.31,23,3,0,1.15,mountain range,Таулы үстірт,горный хребет
Q46865913,1,1,0,100.0,0,0,0,,,,
Q46970,55,11,44,20.0,23,10,0,2.86,airline,Әуе компания,авиакомпания
Q46997958,1,1,0,100.0,0,0,0,,,,
Q47041,1,1,0,100.0,0,0,0,,,,
Q47345468,19,0,19,0.0,19,6,4,5.05,tennis tournament edition,tennis tournament edition,розыгрыш теннисного турнира
Q473972,34,31,3,91.18,3,1,0,4.33,protected area,protected area,природоохранная зона
Q47403752,3,0,3,0.0,3,1,1,5.33,tennis tournament edition by gender,tennis tournament edition by gender,tennis tournament edition by gender
Q47443726,8,0,8,0.0,4,3,2,4.75,recurring tennis tournament,recurring tennis tournament,recurring tennis tournament
Q47460286,1,0,1,0.0,1,1,0,8.0,national beach soccer team,national beach soccer team,сборная страны по пляжному футболу
Q47461344,1,1,0,100.0,0,0,0,,,,
Q47486890,6,3,3,50.0,1,1,1,9.33,former lake,former lake,бывшее озеро
Q47505416,1,1,0,100.0,0,0,0,,,,
Q47521,4,2,2,50.0,0,0,0,1.0,stream,stream,ручей
Q476028,77,68,9,88.31,2,1,1,2.44,association football club,футбол клубы,футбольный клуб
Q477544,1,1,0,100.0,0,0,0,,,,
Q47913,1,1,0,100.0,0,0,0,,,,
Q48004378,1,0,1,0.0,0,0,0,1.0,esport competition,esport competition,киберспортивное соревнование
Q480242,1,1,0,100.0,0,0,0,,,,
Q480260,1,0,1,0.0,0,0,0,1.0,local coat of arms,local coat of arms,герб муниципалитета
Q4806618,1,0,1,0.0,1,0,0,4.0,Asian Cycling Championships,Тас жол веложарыстарынан Азия чемпионаты,Чемпионат Азии по велоспорту
Q481289,2,1,1,50.0,0,0,0,1.0,official residence,резиденция,официальная резиденция
Q48204,4,1,3,25.0,1,0,0,1.33,voluntary association,Клуб,добровольная ассоциация
Q4830453,54,36,18,66.67,9,2,0,1.94,business,кәсіпорын,бизнес
Q483110,27,21,6,77.78,4,1,1,3.83,stadium,стадион,стадион
Q48356,2,1,1,50.0,0,0,0,1.0,minaret,minaret,минарет
Q484652,2,2,0,100.0,0,0,0,,,,
Q485027,1,1,0,100.0,0,0,0,,,,
Q4867756,6,0,6,0.0,2,0,0,2.0,basketball tournament,basketball tournament,баскетбольный турнир
Q486972,2035,1861,174,91.45,50,1,0,1.51,human settlement,елді мекен,населённый пункт
Q489209,2,0,2,0.0,2,2,0,5.0,joint venture,Бірлескен кәсіпорын,совместное предприятие
Q492425,1,0,1,0.0,0,0,0,1.0,container terminal,container terminal,контейнерный терминал
Q4944646,1,0,1,0.0,0,0,0,1.0,Border outpost,Border outpost,Пограничная застава
Q4946461,1,1,0,100.0,0,0,0,,,,
Q494829,4,1,3,25.0,1,0,0,1.33,bus station,автовокзал,автостанция
Q495430,1,1,0,100.0,0,0,0,,,,
Q49773,2,1,1,50.0,1,0,0,2.0,social movement,Қоғамдық қозғалыс,общественное движение
Q498002,2,0,2,0.0,2,0,0,2.5,aerial tramway,aerial tramway,воздушный трамвай
Q4989906,46,21,25,45.65,8,0,0,1.44,monument,Ескерткіш,памятник
Q5,6,6,0,100.0,0,0,0,,,,
Q5003624,4,2,2,50.0,0,0,0,1.0,memorial,memorial,мемориал
Q50061750,1,0,1,0.0,0,0,0,1.0,Asian Road Cycling Championships - Women RR,Asian Road Cycling Championships - Women RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (женщины)
Q50062728,1,0,1,0.0,0,0,0,1.0,Asian Road Cycling Championships - Women ITT,Asian Road Cycling Championships - Women ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины)
Q502102,1,1,0,100.0,0,0,0,,,,
Q5061188,2,1,1,50.0,1,0,0,2.0,house of culture,house of culture,дом культуры
Q507619,1,0,1,0.0,1,0,0,2.0,retail chain,retail chain,сеть магазинов
Q5084,2,2,0,100.0,0,0,0,,,,
Q51031626,14,4,10,28.57,10,10,1,7.6,sport competition at a multi-sport event,sport competition at a multi-sport event,вид спорта на мультиспортивных соревнованиях
Q51481377,5,2,3,40.0,2,0,0,2.33,women's association football club,women's association football club,женский футбольный клуб
Q515,45,44,1,97.78,1,0,0,3.0,city,қала,город
Q518261,1,1,0,100.0,0,0,0,,,,
Q51929311,1,1,0,100.0,0,0,0,,,,
Q519608,1,0,1,0.0,1,0,0,2.0,classification yard,classification yard,сортировочная станция
Q52103661,3,2,1,66.67,1,1,1,20.0,former island,former island,бывший остров
Q52110228,1,1,0,100.0,0,0,0,,,,
Q5225895,1,0,1,0.0,1,1,0,7.0,public limited company,public limited company,public limited company
Q5257307,1,0,1,0.0,1,0,0,2.0,prize,Ұтыс,премия
Q5292,1,1,0,100.0,0,0,0,,,,
Q53060,3,2,1,66.67,0,0,0,1.0,gate,Қақпа,ворота
Q53062420,2,1,1,50.0,1,0,0,2.0,nation in the Junior Eurovision Song Contest,nation in the Junior Eurovision Song Contest,страна на детском конкурсе Евровидение
Q532,5,2,3,40.0,2,0,0,2.0,village,ауыл,село
Q5341295,1,1,0,100.0,0,0,0,,,,
Q53534649,26,0,26,0.0,18,9,0,3.46,cycling team season,cycling team season,сезон велокоманды
Q537127,2,1,1,50.0,0,0,0,1.0,road bridge,road bridge,автомобильный мост
Q53732481,3,2,1,66.67,1,1,1,10.0,nuclear test site,nuclear test site,nuclear test site
Q54047178,1,1,0,100.0,0,0,0,,,,
Q54050,356,4,352,1.12,0,0,0,1.0,hill,төбе,холм
Q54074585,1,1,0,100.0,0,0,0,,,,
Q54114,2,1,1,50.0,0,0,0,1.0,boulevard,Бульвар,бульвар
Q549276,1,1,0,100.0,0,0,0,,,,
Q5503,1,1,0,100.0,0,0,0,,,,
Q55043,1,1,0,100.0,0,0,0,,,,
Q55075651,11,7,4,63.64,0,0,0,1.0,upland,Қырат,возвышенность
Q55135234,1,0,1,0.0,1,0,0,4.0,zone,zone,zone
Q55190120,2,2,0,100.0,0,0,0,,,,
Q55379753,1,0,1,0.0,1,0,0,4.0,handball federation,handball federation,гандбольная федерация
Q55392224,1,1,0,100.0,0,0,0,,,,
Q55465414,1,0,1,0.0,0,0,0,1.0,lake channel,lake channel,lake channel
Q55470128,7,0,7,0.0,0,0,0,1.0,intermittent oxbow lake,intermittent oxbow lake,intermittent oxbow lake
Q55470156,39,2,37,5.13,3,0,0,1.16,intermittent salt lake,intermittent salt lake,сезонное солёное озеро
Q55488,173,50,123,28.9,9,1,0,1.12,railway station,темір жол стансасы,железнодорожная станция
Q55493,5,1,4,20.0,0,0,0,1.0,goods station,goods station,грузовая железнодорожная станция
Q5558483,2,2,0,100.0,0,0,0,,,,
Q55659167,8,1,7,12.5,0,0,0,1.0,natural watercourse,natural watercourse,естественный водоток
Q55678,2,0,2,0.0,0,0,0,1.0,railway stop,railway stop,остановочный пункт на железной дороге
Q55818,2,1,1,50.0,1,1,0,8.0,impact crater,Метеориттік кратер,ударный кратер
Q55958305,1,1,0,100.0,0,0,0,,,,
Q56061,14,12,2,85.71,1,0,0,1.5,administrative territorial entity,әкімшілік-аумақтық бөлініс,административно-территориальная единица
Q56190453,4,4,0,100.0,0,0,0,,,,
Q56242215,1,0,1,0.0,1,0,0,3.0,Catholic cathedral,Catholic cathedral,католический собор
Q56242225,8,4,4,50.0,3,1,0,3.5,Eastern Orthodox cathedral,Eastern Orthodox cathedral,кафедральный православный собор
Q56257551,1,0,1,0.0,1,0,0,2.0,sea terminal,marine terminal,морской терминал
Q56312706,1,0,1,0.0,1,0,0,2.0,recreation park,recreation park,парк культуры и отдыха
Q56377753,1,1,0,100.0,0,0,0,,,,
Q56490294,1,0,1,0.0,1,0,0,3.0,bench with statue,bench with statue,скамейка с памятником
Q56507866,1,1,0,100.0,0,0,0,,,,
Q56610307,1,0,1,0.0,0,0,0,1.0,rally raid race,rally raid race,rally raid race
Q5681048,1,0,1,0.0,1,1,1,15.0,partial solar eclipse,partial solar eclipse,частное солнечное затмение
Q5691927,1,0,1,0.0,1,1,1,11.0,annular solar eclipse,annular solar eclipse,кольцеобразное солнечное затмение
Q57208171,1,1,0,100.0,0,0,0,,,,
Q57237852,46,7,39,15.22,1,0,0,1.03,dry stream bed,dry stream bed,dry stream bed
Q57305,1,1,0,100.0,0,0,0,,,,
Q573344,1,1,0,100.0,0,0,0,,,,
Q5737,13,9,4,69.23,0,0,0,1.0,burial mound,Қорған,курган
Q575759,1,1,0,100.0,0,0,0,,,,
Q57598,2,2,0,100.0,0,0,0,,,,
Q5770868,1,1,0,100.0,0,0,0,,,,
Q57821,3,2,1,66.67,0,0,0,1.0,fortification,fortification,фортификационное сооружение
Q57831,15,7,8,46.67,1,0,0,1.12,fortress,қамал,крепость
Q582577,1,0,1,0.0,0,0,0,1.0,economic policy,экономикалық саясат,экономическая политика
Q58840819,1,1,0,100.0,0,0,0,,,,
Q58841125,1,0,1,0.0,1,1,1,10.0,women's national rugby union team,women's national rugby union team,женская сборная страны по регби
Q58863414,1,1,0,100.0,0,0,0,,,,
Q588750,1,1,0,100.0,0,0,0,,,,
Q58973026,1,0,1,0.0,1,1,0,7.0,rugby union governing body,rugby union governing body,rugby union governing body
Q591942,5,1,4,20.0,0,0,0,1.0,distributary,distributary,рукав реки
Q5926864,9,3,6,33.33,1,1,0,2.0,group of lakes,group of lakes,группа озёр
Q59541917,1,0,1,0.0,1,1,1,25.0,Wikimedia topic category,Wikimedia topic category,тематическая категория Викимедиа
Q60046086,1,1,0,100.0,0,0,0,,,,
Q60176300,13,1,12,7.69,9,3,0,3.5,Eastern Orthodox eparchy,Eastern Orthodox eparchy,православная епархия
Q6017815,7,3,4,42.86,0,0,0,1.0,kishlak,Қыстау,кишлак
Q6017969,1,1,0,100.0,0,0,0,,,,
Q604177,1,1,0,100.0,0,0,0,,,,
Q604435,6,4,2,66.67,0,0,0,1.0,microdistrict,Ықшам аудан,микрорайон (пост)советский
Q60754876,2,0,2,0.0,2,0,0,2.0,grade of an order,grade of an order,степень ордена
Q6129871,2,2,0,100.0,0,0,0,,,,
Q6138323,2,0,2,0.0,0,0,0,1.0,railway workshop,railway workshop,вагоноремонтное предприятие
Q6138528,1,0,1,0.0,1,0,0,3.0,political coalition,political coalition,политическая коалиция
Q614289,1,0,1,0.0,0,0,0,1.0,Pennysaver,Pennysaver,Газеты бесплатных объявлений
Q61441268,2,1,1,50.0,1,1,0,6.0,professional holiday,professional holiday,профессиональный праздник
Q6154783,1,1,0,100.0,0,0,0,,,,
Q61702941,1,0,1,0.0,1,0,0,4.0,national rugby sevens team,national rugby sevens team,national rugby sevens team
Q618123,5,1,4,20.0,0,0,0,1.0,geographical feature,Географиялық нысан,географический объект
Q618779,11,10,1,90.91,0,0,0,1.0,award,award,награда
Q61883,2,1,1,50.0,0,0,0,1.0,air force,Әскери-Әуе Күштері,военно-воздушные силы
Q61974339,1,0,1,0.0,1,0,0,2.0,esports team,esports team,киберспортивная команда
Q61983760,1,0,1,0.0,1,0,0,4.0,women’s sports competition,women’s sports competition,women’s sports competition
Q620045,1,0,1,0.0,1,1,0,6.0,apostolic nunciature,apostolic nunciature,апостольская нунциатура
Q620615,1,1,0,100.0,0,0,0,,,,
Q623109,4,0,4,0.0,3,2,1,10.25,sports league,sports league,лига
Q62447,18,12,6,66.67,2,0,0,2.0,aerodrome,Аэродром,аэродром
Q6256,1,1,0,100.0,0,0,0,,,,
Q625994,1,0,1,0.0,1,0,0,2.0,convention,convention,собрание
Q6266,1,1,0,100.0,0,0,0,,,,
Q62832,2,0,2,0.0,0,0,0,1.0,observatory,обсерватория,обсерватория
Q631305,1,1,0,100.0,0,0,0,,,,
Q63349598,1,1,0,100.0,0,0,0,,,,
Q63364175,1,0,1,0.0,1,1,0,8.0,ice hockey federation,ice hockey federation,федерация хоккея
Q63416577,1,0,1,0.0,1,1,1,15.0,national volleyball team,national volleyball team,национальная сборная по волейболу
Q63418223,3,1,2,33.33,0,0,0,1.0,women’s national volleyball team,women’s national volleyball team,женская сборная страны по волейболу
Q637017,1,0,1,0.0,1,1,0,5.0,episcopal conference,episcopal conference,конференция католических епископов
Q64025381,1,0,1,0.0,1,1,0,5.0,women's national rugby sevens team,women's national rugby sevens team,women's national rugby sevens team
Q64027602,1,1,0,100.0,0,0,0,,,,
Q641226,2,2,0,100.0,0,0,0,,,,
Q644371,4,4,0,100.0,0,0,0,,,,
Q645466,1,1,0,100.0,0,0,0,,,,
Q6456916,1,1,0,100.0,0,0,0,,,,
Q64728935,1,0,1,0.0,1,1,1,10.0,future event,future event,будущее событие
Q64801076,1,1,0,100.0,0,0,0,,,,
Q65007262,2,2,0,100.0,0,0,0,,,,
Q6500733,1,1,0,100.0,0,0,0,,,,
Q65149786,1,0,1,0.0,1,0,0,4.0,Asian Road Cycling Championships,Asian Road Cycling Championships,Чемпионат Азии по шоссейному велоспорту
Q65553774,1,0,1,0.0,0,0,0,1.0,chain,chain,сеть
Q65583700,3,3,0,100.0,0,0,0,,,,
Q6558431,10,2,8,20.0,7,2,1,4.75,coal-fired power station,coal-fired power station,угольная электростанция
Q65743816,1,0,1,0.0,0,0,0,1.0,Grand Prix,Grand Prix,гран-при
Q65770283,25,25,0,100.0,0,0,0,,,,
Q6589202,1,1,0,100.0,0,0,0,,,,
Q6593141,1,0,1,0.0,1,0,0,4.0,Freedom of religion by country,Freedom of religion by country,Freedom of religion by country
Q659396,1,1,0,100.0,0,0,0,,,,
Q661702,1,1,0,100.0,0,0,0,,,,
Q6617741,15,2,13,13.33,13,8,1,8.0,WWF ecoregion,WWF ecoregion,WWF ecoregion
Q66344,1,1,0,100.0,0,0,0,,,,
Q66374263,2,1,1,50.0,0,0,0,1.0,religion of an area,religion of an area,религия на территории
Q665487,1,0,1,0.0,1,1,1,12.0,diocese,diocese,диоцез
Q66715753,1,0,1,0.0,1,0,0,2.0,Wikimedia list of persons by position held,Wikimedia list of persons by position held,список людей по занимаемой должности
Q66737615,1,0,1,0.0,0,0,0,1.0,institute for medical research,institute for medical research,медицинский научный институт
Q66817758,1,0,1,0.0,1,1,1,15.0,national tennis team,national tennis team,сборная страны по теннису
Q66817784,1,1,0,100.0,0,0,0,,,,
Q67515288,1,1,0,100.0,0,0,0,,,,
Q67608976,1,0,1,0.0,1,0,0,3.0,women's national under-17 association football team,women's national under-17 association football team,женская сборная страны по футболу до 17 лет
Q6867185,2,2,0,100.0,0,0,0,,,,
Q686984,3,2,1,66.67,0,0,0,1.0,civil disorder,жаппай тәртіпсіздіктер,массовые беспорядки
Q68800046,4,3,1,75.0,0,0,0,1.0,industrial disaster,industrial disaster,индустриальный инцидент
Q6881511,49,38,11,77.55,3,0,0,1.36,enterprise,Кәсіпорын,предприятие
Q691960,1,1,0,100.0,0,0,0,,,,
Q69358181,1,0,1,0.0,1,1,1,16.0,human rights by country or territory,human rights by country or territory,права человека по странам или территориям
Q69359318,1,1,0,100.0,0,0,0,,,,
Q695850,7,3,4,42.86,4,0,0,3.5,airbase,Авиациялық база,военный аэродром
Q6979593,6,1,5,16.67,4,3,0,5.0,national association football team,national association football team,сборная страны по футболу
Q6979657,1,0,1,0.0,0,0,0,1.0,national public health institute,national public health institute,national public health institute
Q69920471,2,1,1,50.0,0,0,0,1.0,bandy team,bandy team,команда по хоккею с мячом
Q699386,1,1,0,100.0,0,0,0,,,,
Q699405,1,1,0,100.0,0,0,0,,,,
Q70007648,1,0,1,0.0,0,0,0,1.0,national bandy team,national bandy team,сборная страны по хоккею с мячом
Q70008686,1,0,1,0.0,0,0,0,1.0,women's national bandy team,women's national bandy team,женская сборная страны по хоккею с мячом
Q701632,1,1,0,100.0,0,0,0,,,,
Q702492,1,1,0,100.0,0,0,0,,,,
Q70363582,4,4,0,100.0,0,0,0,,,,
Q70477194,1,0,1,0.0,1,0,0,4.0,mass vaccination,mass vaccination,mass vaccination
Q7075,18,16,2,88.89,0,0,0,1.0,library,кітапхана,библиотека
Q708676,1,1,0,100.0,0,0,0,,,,
Q7188,1,1,0,100.0,0,0,0,,,,
Q7189622,1,1,0,100.0,0,0,0,,,,
Q719642,1,1,0,100.0,0,0,0,,,,
Q7210356,2,2,0,100.0,0,0,0,,,,
Q7212557,32,31,1,96.88,1,0,0,3.0,zakaznik,қорықша,заказник
Q7251007,1,0,1,0.0,1,1,0,6.0,prostitution by region,prostitution by region,проституция на территории
Q726929,1,1,0,100.0,0,0,0,,,,
Q7278,40,18,22,45.0,9,1,0,1.82,political party,саяси партия,политическая партия
Q728904,2,2,0,100.0,0,0,0,,,,
Q728937,13,3,10,23.08,7,0,0,2.1,railway line,railway line,железнодорожная линия
Q730038,5,5,0,100.0,0,0,0,,,,
Q7315155,2,2,0,100.0,0,0,0,,,,
Q734818,1,1,0,100.0,0,0,0,,,,
Q736917,10,2,8,20.0,1,0,0,1.12,geological formation,geological formation,геологическая формация
Q740445,21,3,18,14.29,0,0,0,1.0,mountain ridge,Жон,кряж
Q74047,3,2,1,66.67,0,0,0,1.0,ghost town,елес қала,город-призрак
Q740752,3,0,3,0.0,2,0,0,1.67,transport company,transport company,транспортная компания
Q7415541,1,0,1,0.0,0,0,0,1.0,sanatorium,Шипажай,санаторий
Q744099,26,21,5,80.77,1,0,0,1.2,hillfort,hillfort,городище
Q744296,1,1,0,100.0,0,0,0,,,,
Q744913,4,3,1,75.0,1,0,0,2.0,aviation accident,aviation accident,авиационный инцидент
Q746549,2,2,0,100.0,0,0,0,,,,
Q748019,1,1,0,100.0,0,0,0,,,,
Q74817647,65,25,40,38.46,21,6,1,2.58,aspect in a geographic region,aspect in a geographic region,аспект в географическом регионе
Q749565,2,2,0,100.0,0,0,0,,,,
Q750215,2,1,1,50.0,1,0,0,2.0,mass murder,mass murder,массовое убийство
Q75054287,1,1,0,100.0,0,0,0,,,,
Q75179296,2,1,1,50.0,1,1,0,8.0,ice hockey league,ice hockey league,хоккейная лига
Q751876,1,1,0,100.0,0,0,0,,,,
Q7543083,6,6,0,100.0,0,0,0,,,,
Q75520,9,5,4,55.56,0,0,0,1.0,plateau,Үстірт,плато
Q756102,1,1,0,100.0,0,0,0,,,,
Q757292,2,0,2,0.0,1,0,0,1.5,border checkpoint,border checkpoint,пункт пропуска через государственную границу
Q7625093,1,0,1,0.0,1,0,0,4.0,structure fire,structure fire,пожар постройки
Q766875,1,1,0,100.0,0,0,0,,,,
Q7688,1,1,0,100.0,0,0,0,,,,
Q7692354,1,1,0,100.0,0,0,0,,,,
Q769696,1,0,1,0.0,1,1,1,27.0,national minority,national minority,национальное меньшинство
Q771444,11,11,0,100.0,0,0,0,,,,
Q772547,1,1,0,100.0,0,0,0,,,,
Q7755,1,1,0,100.0,0,0,0,,,,
Q7834916,1,0,1,0.0,1,1,1,11.0,transport corridor,transport corridor,Международный транспортный коридор
Q783794,5,3,2,60.0,0,0,0,1.0,company,фирма,компания
Q7843791,1,0,1,0.0,1,0,0,2.0,consulate,consulate,консульство
Q785020,3,3,0,100.0,0,0,0,,,,
Q785952,2,2,0,100.0,0,0,0,,,,
Q79007,1243,1232,11,99.12,1,0,0,1.09,street,көше,улица
Q7930989,5,5,0,100.0,0,0,0,,,,
Q7944,2,0,2,0.0,2,1,0,6.0,earthquake,Жер сілкіну,землетрясение
Q79854,1,1,0,100.0,0,0,0,,,,
Q799000,3,3,0,100.0,0,0,0,,,,
Q79913,2,1,1,50.0,1,0,0,2.0,non-governmental organization,Үкіметтік емес ұйымдар,общественная организация
Q80096233,3,3,0,100.0,0,0,0,,,,
Q8016240,1,1,0,100.0,0,0,0,,,,
Q8031011,1,0,1,0.0,0,0,0,1.0,women's national team,women's national team,женская сборная команда
Q8065,2,1,1,50.0,1,1,0,8.0,natural disaster,Тілсіз қияпат,стихийное бедствие
Q8068,2,2,0,100.0,0,0,0,,,,
Q810808,2,0,2,0.0,1,0,0,1.5,batholith,Батолит,Батолит
Q811102,1,1,0,100.0,0,0,0,,,,
Q811534,2,0,2,0.0,1,0,0,1.5,remarkable tree,remarkable tree,примечательное дерево
Q811582,1,1,0,100.0,0,0,0,,,,
Q811704,1,0,1,0.0,0,0,0,1.0,rolling stock class,rolling stock class,тип подвижного состава
Q811979,12,5,7,41.67,3,2,0,2.57,architectural structure,Ғимарат,сооружение
Q813672,2,2,0,100.0,0,0,0,,,,
Q81391454,1,1,0,100.0,0,0,0,,,,
Q8142,1,1,0,100.0,0,0,0,,,,
Q8171,1,1,0,100.0,0,0,0,,,,
Q82046811,1,1,0,100.0,0,0,0,,,,
Q820477,31,11,20,35.48,9,1,0,1.75,mine,кенорын,рудник
Q820655,1,1,0,100.0,0,0,0,,,,
Q82794,9,5,4,55.56,2,1,1,7.25,region,аймақ,географический регион
Q82821,5,4,1,80.0,1,0,0,2.0,tradition,салт-дәстүр,традиция
Q831663,1,1,0,100.0,0,0,0,,,,
Q83283600,1,0,1,0.0,0,0,0,1.0,Asian Road Cycling Championships - Men RR,Asian Road Cycling Championships - Men RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (мужчины)
Q83283604,1,0,1,0.0,0,0,0,1.0,Asian Road Cycling Championships - Men ITT,Asian Road Cycling Championships - Men ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (мужчины)
Q83328,1,1,0,100.0,0,0,0,,,,
Q83405,8,6,2,75.0,1,0,0,1.5,factory,Фабрика,фабрика
Q83620,20,0,20,0.0,1,1,0,1.3,thoroughfare,thoroughfare,путь сообщения
Q836672,18,18,0,100.0,0,0,0,,,,
Q83741704,1,0,1,0.0,1,1,1,28.0,COVID-19 pandemic by country and territory,COVID-19 pandemic by country and territory,пандемия COVID-19 в 2019-2020 гг. по странам и территориям
Q839954,67,57,10,85.07,4,1,0,1.8,archaeological site,Археологиялық ескерткіштер,археологический памятник
Q841654,1,1,0,100.0,0,0,0,,,,
Q8432,1,1,0,100.0,0,0,0,,,,
Q843214,1,1,0,100.0,0,0,0,,,,
Q8436,2,2,0,100.0,0,0,0,,,,
Q8463186,1,1,0,100.0,0,0,0,,,,
Q847017,9,6,3,66.67,1,1,1,6.0,sports club,sports club,спортивный клуб
Q847906,1,0,1,0.0,0,0,0,1.0,online magazine,online magazine,интернет-журнал
Q84860894,2,0,2,0.0,0,0,0,1.0,puppetry building,puppetry building,puppetry building
Q8502,1371,803,568,58.57,13,3,2,1.07,mountain,тау,гора
Q8514,23,13,10,56.52,4,3,0,3.0,desert,Шөл,пустыня
Q856234,1,1,0,100.0,0,0,0,,,,
Q860861,4,2,2,50.0,1,0,0,1.5,sculpture,sculpture,скульптура
Q862571,1,0,1,0.0,1,0,0,2.0,petroleum industry,мұнай өнеркәсібі,нефтяная промышленность
Q865588,5,4,1,80.0,0,0,0,1.0,committee,комитет,комитет
Q868557,2,1,1,50.0,0,0,0,1.0,music festival,музыкалық фестиваль,музыкальный фестиваль
Q872181,1,0,1,0.0,1,0,0,4.0,scouting,Скаутизм,скауты
Q875538,3,2,1,66.67,1,1,0,5.0,public university,public university,общественный университет
Q878223,1,1,0,100.0,0,0,0,,,,
Q879146,1,0,1,0.0,1,0,0,4.0,Christian denomination,Christian denomination,христианская конфессия
Q88372,1,0,1,0.0,0,0,0,1.0,esplanade,esplanade,эспланада
Q891723,11,10,1,90.91,0,0,0,1.0,public company,Қоғамдық компания,публичная компания
Q89578131,1,0,1,0.0,1,0,0,3.0,radar station,radar station,radar station
Q9019918,3,3,0,100.0,0,0,0,,,,
Q902104,2,1,1,50.0,0,0,0,1.0,private university,private university,частный университет
Q902814,3,3,0,100.0,0,0,0,,,,
Q907698,7,6,1,85.71,0,0,0,1.0,prospekt,даңғыл,проспект
Q909459,1,0,1,0.0,0,0,0,1.0,counter-terrorism,counter-terrorism,контртерроризм
Q9096832,1,1,0,100.0,0,0,0,,,,
Q91396496,1,1,0,100.0,0,0,0,,,,
Q917182,1,1,0,100.0,0,0,0,,,,
Q91908604,1,0,1,0.0,1,1,0,5.0,freight train service,freight train service,freight train service
Q9259,1,0,1,0.0,1,1,0,9.0,World Heritage Site,Әлемдік мұра,всемирное наследие
Q92634207,1,0,1,0.0,1,0,0,2.0,papal visit,papal visit,papal visit
Q928830,14,13,1,92.86,0,0,0,1.0,metro station,Метро бекеті,станция метрополитена
Q9346860,1,0,1,0.0,0,0,0,1.0,geological structure,geological structure,геологическая структура
Q935741,1,1,0,100.0,0,0,0,,,,
Q936648,1,1,0,100.0,0,0,0,,,,
Q938381,1,0,1,0.0,0,0,0,1.0,bid for the Olympic Games,bid for the Olympic Games,Выборы столиц Олимпийских игр
Q94579592,3,3,0,100.0,0,0,0,,,,
Q94696559,3,1,2,33.33,0,0,0,1.0,national futsal team,national futsal team,national futsal team
Q948571,2,1,1,50.0,0,0,0,1.0,organ of state,Авторитет,орган государственной власти
Q94993988,22,22,0,100.0,0,0,0,,,,
Q952037,2,2,0,100.0,0,0,0,,,,
Q954007,1,0,1,0.0,1,0,0,2.0,affinity,affinity,свойство́
Q961082,1,0,1,0.0,0,0,0,1.0,gazebo,gazebo,беседка
Q974968,1,1,0,100.0,0,0,0,,,,
Q98374631,1,1,0,100.0,0,0,0,,,,
Q98374854,1,1,0,100.0,0,0,0,,,,
Q98925384,1,0,1,0.0,0,0,0,1.0,KVN team,KVN team,команда КВН
Q98929991,1,1,0,100.0,0,0,0,,,,
Q989946,1,1,0,100.0,0,0,0,,,,
Q99527323,3,1,2,33.33,1,0,0,1.5,architecture of geographic location,architecture of geographic location,архитектура территории
