p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q24575110,1,0,1,0.0,0,0,0,1.0,start time,start time,дата начала
Q2466826,1,0,1,0.0,1,1,1,10.0,UCI Women's Team,UCI Women's Team,UCI Women's Team
Q2467461,1,1,0,100.0,0,0,0,,,,
Q24699794,1,1,0,100.0,0,0,0,,,,
Q2470540,2,1,1,50.0,0,0,0,1.0,chamber orchestra,chamber orchestra,камерный оркестр
Q2472587,3,3,0,100.0,0,0,0,,,,
Q2484195,3,3,0,100.0,0,0,0,,,,
Q2485448,13,4,9,30.77,6,1,0,2.22,sports governing body,sports governing body,спортивная федерация
Q24871403,1,0,1,0.0,1,1,1,12.0,bus accident,bus accident,автобусный инцидент
Q24906026,1,1,0,100.0,0,0,0,,,,
Q249556,3,1,2,33.33,2,0,0,3.0,railway company,railway company,железнодорожная компания
Q2495862,2,1,1,50.0,0,0,0,1.0,congress,съезд,съезд
Q2514025,19,16,3,84.21,0,0,0,1.0,posyolok,posyolok,посёлок
Q2515494,3,2,1,66.67,1,1,0,5.0,constitutional referendum,constitutional referendum,конституционный референдум
Q2516426,2,2,0,100.0,0,0,0,,,,
Q251777,1,0,1,0.0,1,0,0,2.0,custom,Әдет-ғұрыптар,обычай
Q2519340,2,1,1,50.0,1,0,0,2.0,administrative building,administrative building,административное здание
Q25295,1,1,0,100.0,0,0,0,,,,
Q25297630,1,0,1,0.0,0,0,0,1.0,international bridge,international bridge,трансграничный мост
Q25380035,3,1,2,33.33,1,1,1,20.0,ethnic community,Этникалық Қауымдастық,этническая общность
Q25391,1,1,0,100.0,0,0,0,,,,
Q2551525,1,0,1,0.0,1,0,0,3.0,water reservoir,water reservoir,водный резервуар
Q25550691,1,1,0,100.0,0,0,0,,,,
Q25550763,1,0,1,0.0,0,0,0,1.0,visual arts of an area,visual arts of an area,изобразительное искусство территории
Q25619,1,0,1,0.0,1,0,0,3.0,Daryal radar,Daryal radar,Дарьял
Q256324,1,0,1,0.0,1,0,0,2.0,industrial railway,industrial railway,Предприятие промышленного железнодорожного транспорта
Q25676476,1,0,1,0.0,0,0,0,1.0,Persian language in an area,Persian language in an area,персидский язык на территории
Q25679497,1,0,1,0.0,1,0,0,2.0,art of an area,art of an area,искусство территории
Q2570643,1,1,0,100.0,0,0,0,,,,
Q2593777,10,10,0,100.0,0,0,0,,,,
Q261604,1,0,1,0.0,1,0,0,3.0,oil-fired power station,oil-fired power station,электростанция на нефтепродуктах
Q2618174,1,1,0,100.0,0,0,0,,,,
Q2618461,10,1,9,10.0,3,0,0,1.56,legislative election,legislative election,выборы в законодательный орган
Q2620826,1,0,1,0.0,0,0,0,1.0,declaration,Мағлұмдама,декларация
