qid,p31
Q347,Q3624078
Q388,Q7397
Q399,Q6256
Q399,Q3624078
Q403,Q6256
Q403,Q7270
Q403,Q123480
Q403,Q3624078
Q403,Q127693126
Q414,Q6256
Q414,Q6266
Q414,Q3624078
Q414,Q10551526
Q414,Q140892892
Q419,Q6256
Q419,Q3624078
Q423,Q6256
Q423,Q465613
Q423,Q1309121
Q423,Q3303230
Q423,Q3624078
Q428,Q179461
Q428,Q7725634
Q432,Q6957341
Q450,Q96253971
Q450,Q96634632
Q515,Q98966309
Q515,Q137018865
Q588,Q515
Q588,Q925381
Q588,Q1200957
Q588,Q1549591
Q588,Q13539802
Q657,Q6256
Q657,Q123480
Q657,Q3624078
Q664,Q6256
Q664,Q112099
Q664,Q202686
Q664,Q3624078
Q668,Q6256
Q668,Q3624078
Q711,Q6256
Q711,Q123480
Q711,Q3624078
Q712,Q6256
Q712,Q112099
Q712,Q179164
Q712,Q3624078
Q712,Q11815167
Q720,Q5
Q750,Q6256
Q750,Q123480
Q750,Q3624078
Q774,Q6256
Q774,Q7270
Q774,Q171751
Q774,Q3624078
Q783,Q6256
Q783,Q3624078
Q786,Q6256
Q786,Q112099
Q786,Q3624078
Q786,Q11815167
Q1033,Q512187
Q1033,Q3624078
Q1045,Q6256
Q1045,Q7270
Q1045,Q512187
Q1045,Q3624078
Q1049,Q6256
Q1049,Q7270
Q1049,Q1088391
Q1049,Q3624078
Q1065,Q43229
Q1065,Q163740
Q1065,Q245065
Q1065,Q484652
Q1084,Q82042
Q1410,Q515
Q1410,Q46395
Q1410,Q900119
Q1410,Q902814
Q1410,Q1200957
Q1410,Q2264924
Q1410,Q15239622
Q1410,Q51576574
Q1439,Q35657
Q1845,Q179461
Q1845,Q12910132
Q2736,Q31629
Q2736,Q47728
Q2736,Q212434
Q2736,Q216048
Q2736,Q4356073
Q2831,Q5
Q4628,Q192611
Q4628,Q66724388
Q5481,Q41162
Q5481,Q43263
Q5689,Q193512
Q5689,Q782614
Q5710,Q41162
Q5710,Q43263
Q5971,Q41162
Q5971,Q43263
Q6543,Q41162
Q6543,Q43263
Q6605,Q41162
Q6605,Q43263
Q7779,Q245065
Q7779,Q484652
Q7779,Q2578692
Q7779,Q3337001
Q8462,Q5
Q8646,Q515
Q8646,Q133442
Q8646,Q161243
Q8646,Q200250
Q8646,Q208511
Q8646,Q779415
Q8646,Q1549591
Q8646,Q3337001
Q8646,Q125470455
Q8811,Q37045
Q8811,Q235557
Q9135,Q17155032
Q9252,Q33742
Q9252,Q1288568
Q9264,Q33742
Q9264,Q152559
Q9264,Q1288568
Q9458,Q5
Q11368,Q170584
Q11368,Q16889133
Q11442,Q334166
Q11442,Q109734237
Q11442,Q140424465
Q12501,Q1784293
Q13389,Q33742
Q13389,Q34770
Q13389,Q1288568
Q16635,Q23442
Q16635,Q462778
Q16635,Q783733
Q16635,Q1352230
Q16635,Q3337001
Q16641,Q462778
Q16641,Q783733
Q16641,Q1048835
Q16641,Q1352230
Q16959,Q748149
Q16959,Q1549591
Q21204,Q579287
Q23681,Q6256
Q23681,Q112099
Q23681,Q208164
Q23681,Q1179466
Q23681,Q10711424
Q23681,Q15239622
Q24905,Q82042
Q29001,Q5
Q30197,Q16521
Q30197,Q19067
Q30197,Q1353106
Q33348,Q33742
Q33348,Q1288568
Q34090,Q25295
Q34409,Q6784672
Q34698,Q82042
Q34800,Q57362
Q35493,Q515
Q35493,Q12266391
Q35493,Q51929311
Q35493,Q129268952
Q35572,Q163740
Q35572,Q1478443
Q35572,Q11422536
Q36156,Q836672
Q36224,Q82042
Q36288,Q405155
Q36288,Q445741
Q36724,Q5
Q37285,Q27020041
Q37437,Q66745531
Q37437,Q135892289
Q37845,Q25295
Q37845,Q839463
Q38035,
Q38311,Q4671286
Q38311,Q66745531
Q38311,Q135892289
Q41226,Q327349
Q41796,
Q43521,Q816829
Q43521,Q6313217
Q43521,Q63463337
Q44626,Q392928
Q44626,Q403523
Q44811,Q3957
Q45805,Q392928
Q45805,Q403523
Q45813,Q4204501
Q45813,Q55208590
Q47158,Q392928
Q47158,Q403523
Q55810,Q392928
Q55810,Q403523
Q58024,Q43229
Q58024,Q891723
Q58024,Q3390477
Q58024,Q4830453
Q58024,Q6576792
Q58024,Q6881511
Q58024,Q125265855
Q61944,Q515
Q61944,Q1549591
Q61944,Q129725870
Q62100,Q392928
Q62100,Q403523
Q62412,Q392928
Q62412,Q403523
Q63116,Q82042
Q65955,Q392928
Q65955,Q403523
Q75507,Q630830
Q75507,Q2464485
Q76402,Q392928
Q76402,Q403523
Q79064,Q392928
Q79064,Q403523
Q80040,Q41710
Q81602,Q16521
Q82042,Q980357
Q82042,Q19478619
Q83034,Q82042
Q83222,Q630830
Q83222,Q2464485
Q83875,Q113021760
Q83875,Q113022037
Q83875,Q113022117
Q83875,Q135267624
Q101313,Q108256
Q101313,Q2669627
Q102416,Q630830
Q102416,Q2464485
Q103910,Q15398983
Q103910,Q108674179
Q103924,Q392928
Q103924,Q403523
Q104162,Q108256
Q104162,Q2669627
Q104168,Q108256
Q104168,Q2669627
Q104460,Q108256
Q104460,Q2669627
Q111029,
Q121671,Q16521
Q131083,Q933394
Q131083,Q1977835
Q132239,Q16521
Q133738,Q392928
Q133738,Q403523
Q134958,Q5
Q135392,Q5
Q145291,Q5
Q146786,Q104083
Q162548,Q515
Q162548,Q1549591
Q162548,Q12134916
Q162548,Q129725870
Q162858,Q4204501
Q164573,
Q164819,Q4826865
Q168811,Q3024240
Q170239,Q182545
Q173751,Q8142
Q175026,
Q179080,Q575882
Q184932,
Q184943,Q82042
Q186466,Q836672
Q186581,Q5
Q191792,Q50399
Q192960,Q5
Q192997,Q128234
Q192997,Q2374489
Q198989,Q515
Q198989,Q1549591
Q198989,Q129725870
Q200881,Q5
Q209639,Q5
Q211101,Q980357
Q238931,Q836672
Q304890,Q5
Q311585,Q339072
Q312309,Q13406463
Q322100,Q5
Q324950,Q5
Q340561,Q5
Q348950,Q772547
Q357241,Q5
Q376532,Q5
Q380012,
Q380057,Q82042
Q382816,Q5
Q401543,Q5
Q413579,Q481289
Q421446,Q1336099
Q427658,Q836672
Q429649,Q3320743
Q459376,Q465299
Q464777,Q5
Q477232,Q515
Q477232,Q57831
Q477232,Q1306755
Q477232,Q1549591
Q477232,Q129725870
Q478309,Q6154783
Q478309,Q20638319
Q478470,Q23691
Q483236,Q57598
Q483236,Q1445650
Q483236,Q18369361
Q484245,Q1977835
Q484245,Q7631083
Q484245,Q10864048
Q484706,Q515
Q484706,Q1549591
Q484706,Q129725870
Q485056,Q836672
Q485088,Q836672
Q485322,Q836672
Q485429,Q836672
Q485437,Q836672
Q485496,Q515
Q485496,Q1549591
Q485496,Q12266391
Q485605,Q836672
Q486007,Q836672
Q486144,Q836672
Q486282,Q515
Q486282,Q1549591
Q486282,Q129725870
Q486545,Q902814
Q486545,Q1549591
Q486545,Q129725870
Q486657,Q836672
Q486913,Q515
Q486913,Q1549591
Q486913,Q129725870
Q487439,Q515
Q487439,Q1549591
Q487439,Q129725870
Q488379,Q1549591
Q488379,Q129725870
Q488990,Q1549591
Q488990,Q129725870
Q491102,Q515
Q491102,Q129725870
Q491123,Q1549591
Q491123,Q129725870
Q494354,Q8436
Q494354,Q331644
Q494354,Q3024240
Q494354,Q26883974
Q527078,Q5
Q528699,Q1478443
Q539597,Q4164871
Q560360,Q5
Q563564,Q5
Q578366,Q5
Q631210,Q1345055
Q631210,Q3024240
Q648528,Q618779
Q673001,Q133311
Q673001,Q4204501
Q701515,Q5
Q732699,
Q733451,Q476028
Q743494,Q5
Q797060,Q730038
Q797060,Q891723
Q797060,Q4830453
Q797060,Q6881511
Q808309,Q902814
Q808309,Q1336099
Q815330,Q836672
Q836013,Q196600
Q840601,Q1620908
Q848127,Q788104
Q848127,Q4056396
Q848638,Q515
Q848638,Q1549591
Q848638,Q129725870
Q862304,Q331644
Q862304,Q50068795
Q864796,Q1076486
Q913703,Q8192
Q915517,Q41710
Q919359,Q193622
Q956423,Q193622
Q1023497,Q1336099
Q1036808,Q5
Q1045784,Q193622
Q1045853,Q5
Q1045898,Q5
Q1045903,Q5
Q1045918,Q5
Q1045926,Q5
Q1045933,Q5
Q1045940,Q5
Q1045973,Q5
Q1046003,Q5
Q1046021,Q5
Q1046047,Q5
Q1046697,Q1002697
Q1051307,Q922203
Q1099731,Q3024240
Q1122209,Q193622
Q1122209,Q618779
Q1226580,Q5
Q1234239,Q1055909
Q1234239,Q63824713
Q1234239,Q123330451
Q1236973,Q110295396
Q1247199,Q375928
Q1268163,Q702492
Q1268163,Q130108094
Q1277895,Q331644
Q1277895,Q3024240
Q1277895,Q26883974
Q1316045,Q2570643
Q1377512,Q5
Q1377525,Q5
Q1377798,Q5
Q1433867,Q331644
Q1433867,Q3024240
Q1445454,Q5
Q1451819,Q80096233
Q1535255,Q32815
Q1542849,Q13406463
Q1586559,Q193622
Q1734806,Q7755
Q1774041,
Q1862291,Q193622
Q1993710,Q484652
Q2072231,Q5
Q2092093,Q198
Q2092093,Q831663
Q2302185,Q515
Q2302185,Q129725870
Q2324449,Q3918
Q2360655,Q193622
Q2369181,Q485027
Q2369181,Q10855061
Q2370088,Q902104
Q2380565,Q5
Q2381435,Q5
Q2384764,Q5
Q2416315,Q294414
Q2467956,Q5
Q2497155,Q5
Q2498819,Q5
Q2553863,Q1345055
Q2553863,Q3024240
Q2625835,Q5
Q2628401,Q5
Q2643128,
Q2658842,Q5
Q2995409,Q189445
Q2996387,Q515
Q2996387,Q839954
Q2997636,Q5
Q3080648,Q5
Q3239600,Q5
Q3677399,Q193622
Q3677399,Q618779
Q3814905,Q7188
Q3814905,Q35798
Q3826469,Q5
Q3826480,Q5
Q3826487,Q5
Q3826516,Q5
Q3826525,Q5
Q3826533,Q5
Q3826541,Q5
Q3853514,Q131647
Q3853515,Q131647
Q3853560,Q131647
Q3853597,Q131647
Q3885258,Q193622
Q3885258,Q618779
Q3885324,Q193622
Q3885324,Q618779
Q4057227,
Q4058045,Q230262
Q4058235,Q5
Q4058893,Q5
Q4058897,Q5
Q4059004,Q5
Q4059102,Q4167410
Q4071428,Q948571
Q4075780,Q133311
Q4076608,Q5
Q4076987,Q5
Q4084915,Q5
Q4085267,Q211503
Q4109099,Q190752
Q4126351,Q124734
Q4148644,Q23442
Q4159032,Q5
Q4159911,Q5
Q4161765,Q5
Q4167199,Q5
Q4177117,Q5
Q4178081,Q5
Q4178087,Q5
Q4203818,Q5
Q4207402,Q5
Q4208066,Q41710
Q4208445,
Q4208471,Q5
Q4213731,Q5
Q4233034,Q5
Q4273136,Q4375507
Q4274900,Q5
Q4274907,Q5
Q4275564,Q5
Q4279908,Q5
Q4285535,Q5
Q4308742,Q5
Q4311730,Q140362944
Q4313147,Q5
Q4337290,Q5
Q4402053,Q5
Q4402066,Q5
Q4408227,Q5
Q4438492,Q124734
Q4448148,Q5
Q4450754,Q5
Q4452306,Q5
Q4459033,Q5
Q4459685,Q5
Q4464923,Q5
Q4465018,Q5
Q4465110,Q5
Q4466589,Q5
Q4467086,Q5
Q4494877,Q5
Q4526727,
Q4529385,Q5
Q4736529,Q105543609
Q5092066,Q5
Q5339301,Q16521
Q6601875,Q476028
Q7404619,Q5
Q10972603,Q5
Q11903850,Q5
Q12266391,
Q12525900,
Q12528660,
Q12529597,
Q12534806,Q5
Q12535258,
Q12545559,
Q12550700,Q5
Q12553162,Q5
Q12556914,
Q12557117,
Q12557416,Q5
Q12563910,Q5
Q12564163,Q5
Q12567276,Q5
Q12567482,
Q12567580,Q5
Q12570064,Q5
Q12572303,
Q12572812,
Q12573569,
Q12573878,Q5
Q12575142,Q5
Q12577368,
Q12577782,Q5
Q12578085,Q4223017
Q12578267,Q5
Q12839330,Q5962346
Q15535871,Q331644
Q15535871,Q3024240
Q15623483,Q133311
Q16272929,Q5
Q16431935,Q5
Q16432837,
Q16433114,Q5
Q16436702,Q105543609
Q16436931,Q5
Q16437108,Q5
Q16735643,Q149918
Q16735643,Q19362195
Q18888060,
Q19521611,Q4271324
Q19521611,Q13002315
Q20484750,
Q22907440,Q113988536
Q24846475,Q5
Q25530290,
Q25530325,
Q25530326,
Q25530328,
Q25530329,
Q25530330,Q2495862
Q27913358,Q192096
Q30645576,
Q48956262,
Q86668075,
Q2,Q3504248
Q15,Q5107
Q15,Q82794
Q15,Q2221906
Q30,Q6256
Q30,Q3624078
Q32,Q6256
Q32,Q123480
Q32,Q165116
Q32,Q179164
Q32,Q3624078
Q49,Q5107
Q49,Q855697
Q49,Q2418896
Q55,Q6256
Q55,Q15304003
Q68,Q11019
Q68,Q12579633
Q75,Q11384
Q75,Q1301371
Q75,Q11224256
Q75,Q12579633
Q96,Q6256
Q96,Q3624078
Q111,Q844911
Q111,Q3504248
Q117,Q6256
Q117,Q3624078
Q221,Q6256
Q221,Q123480
Q221,Q3624078
Q225,Q6256
Q225,Q3624078
Q225,Q51576574
Q243,Q1440300
Q243,Q1440476
Q243,Q2319498
Q244,Q6256
Q244,Q112099
Q244,Q202686
Q244,Q3624078
Q308,Q3504248
Q308,Q3901935
Q334,Q515
Q334,Q6256
Q334,Q112099
Q334,Q133442
Q334,Q208511
Q334,Q902814
Q334,Q1549591
