model,pair_property_tests,covered_correct,missing_correct,covered_accuracy,missing_accuracy,difference,covered_only,missing_only
gemini-3.6-flash,143,84,82,0.5874125874125874,0.5734265734265734,0.013986013986013957,15,13
gpt-5.6-terra,143,68,69,0.4755244755244755,0.4825174825174825,-0.006993006993006978,18,19
